Time, Emission NOx
   0.000000,    0.105453
   0.100000,  105.454130
   0.200000,  210.918981
   0.300000,  316.385149
   0.400000,  421.851317
   0.500000,  527.317484
   0.600000,  632.783652
   0.700000,  738.249820
   0.800000,  843.715987
   0.900000,  949.182155
   1.000000, 1054.648322
   1.100000, 1160.114490
   1.200000, 1265.586901
   1.300000, 1371.060093
   1.400000, 1476.533284
   1.500000, 1582.006475
   1.600000, 1687.479666
   1.700000, 1792.952857
   1.800000, 1898.426048
   1.900000, 2003.899239
   2.000000, 2109.372430
   2.100000, 2214.845621
   2.200000, 2320.307070
   2.300000, 2425.767052
   2.400000, 2531.227034
   2.500000, 2636.687017
   2.600000, 2742.146999
   2.700000, 2847.606982
   2.800000, 2953.066964
   2.900000, 3058.526946
   3.000000, 3163.986929
   3.100000, 3269.446911
   3.200000, 3374.877786
   3.300000, 3480.305026
   3.400000, 3585.732267
   3.500000, 3691.159507
   3.600000, 3796.586748
   3.700000, 3902.013988
   3.800000, 4007.441229
   3.900000, 4112.868469
   4.000000, 4218.295710
   4.100000, 4323.722950
   4.200000, 4429.104353
   4.300000, 4534.480033
   4.400000, 4639.855713
   4.500000, 4745.231393
   4.600000, 4850.607072
   4.700000, 4955.982752
   4.800000, 5061.358432
   4.900000, 5166.734112
   5.000000, 5272.109791
   5.100000, 5377.485471
   5.200000, 5482.806717
   5.300000, 5588.121166
   5.400000, 5693.435615
   5.500000, 5798.750064
   5.600000, 5904.064512
   5.700000, 6009.378961
   5.800000, 6114.693410
   5.900000, 6220.007859
   6.000000, 6325.322308
   6.100000, 6430.636757
   6.200000, 6536.039040
   6.300000, 6641.452289
   6.400000, 6746.865538
   6.500000, 6852.278787
   6.600000, 6957.692036
   6.700000, 7063.105286
   6.800000, 7168.518535
   6.900000, 7273.931784
   7.000000, 7379.345033
   7.100000, 7484.758283
   7.200000, 7590.262239
   7.300000, 7695.777520
   7.400000, 7801.292802
   7.500000, 7906.808083
   7.600000, 8012.323365
   7.700000, 8117.838646
   7.800000, 8223.353928
   7.900000, 8328.869209
   8.000000, 8434.384491
   8.100000, 8539.899772
   8.200000, 8645.464640
   8.300000, 8751.035698
   8.400000, 8856.606757
   8.500000, 8962.177816
   8.600000, 9067.748875
   8.700000, 9173.319934
   8.800000, 9278.890992
   8.900000, 9384.462051
   9.000000, 9490.033110
   9.100000, 9595.604169
   9.200000, 9701.185934
   9.300000, 9806.769037
   9.400000, 9912.352139
   9.500000, 10017.935241
   9.600000, 10123.518344
   9.700000, 10229.101446
   9.800000, 10334.684549
   9.900000, 10440.267651
  10.000000, 10545.850753
  10.100000, 10651.433856
  10.200000, 10756.990989
  10.300000, 10862.544880
  10.400000, 10968.098771
  10.500000, 11073.652662
  10.600000, 11179.206553
  10.700000, 11284.760444
  10.800000, 11390.314335
  10.900000, 11495.868226
  11.000000, 11601.422117
  11.100000, 11706.976007
  11.200000, 11812.469415
  11.300000, 11917.955270
  11.400000, 12023.441126
  11.500000, 12128.926981
  11.600000, 12234.412837
  11.700000, 12339.898692
  11.800000, 12445.384547
  11.900000, 12550.870403
  12.000000, 12656.356258
  12.100000, 12761.842114
  12.200000, 12867.396052
  12.300000, 12972.958491
  12.400000, 13078.520930
  12.500000, 13184.083370
  12.600000, 13289.645809
  12.700000, 13395.208248
  12.800000, 13500.770687
  12.900000, 13606.333127
  13.000000, 13711.895566
  13.100000, 13817.458005
  13.200000, 13923.199713
  13.300000, 14028.963805
  13.400000, 14134.727896
  13.500000, 14240.491988
  13.600000, 14346.256079
  13.700000, 14452.020171
  13.800000, 14557.784262
  13.900000, 14663.548354
  14.000000, 14769.312445
  14.100000, 14875.076537
  14.200000, 14980.940662
  14.300000, 15086.817277
  14.400000, 15192.693892
  14.500000, 15298.570507
  14.600000, 15404.447122
  14.700000, 15510.323737
  14.800000, 15616.200352
  14.900000, 15722.076967
  15.000000, 15827.953582
  15.100000, 15933.830197
  15.200000, 16039.733058
  15.300000, 16145.639196
  15.400000, 16251.545334
  15.500000, 16357.451472
  15.600000, 16463.357610
  15.700000, 16569.263748
  15.800000, 16675.169886
  15.900000, 16781.076024
  16.000000, 16886.982162
  16.100000, 16992.888300
  16.200000, 17098.752870
  16.300000, 17204.612249
  16.400000, 17310.471628
  16.500000, 17416.331007
  16.600000, 17522.190386
  16.700000, 17628.049766
  16.800000, 17733.909145
  16.900000, 17839.768524
  17.000000, 17945.627903
  17.100000, 18051.487282
  17.200000, 18157.242955
  17.300000, 18262.985680
  17.400000, 18368.728404
  17.500000, 18474.471129
  17.600000, 18580.213853
  17.700000, 18685.956578
  17.800000, 18791.699302
  17.900000, 18897.442027
  18.000000, 19003.184751
  18.100000, 19108.927476
  18.200000, 19214.509743
  18.300000, 19320.071977
  18.400000, 19425.634210
  18.500000, 19531.196443
  18.600000, 19636.758676
  18.700000, 19742.320909
  18.800000, 19847.883143
  18.900000, 19953.445376
  19.000000, 20059.007609
  19.100000, 20164.569842
  19.200000, 20269.974380
  19.300000, 20375.359228
  19.400000, 20480.744077
  19.500000, 20586.128925
  19.600000, 20691.513773
  19.700000, 20796.898621
  19.800000, 20902.283469
  19.900000, 21007.668317
  20.000000, 21113.053166
  20.100000, 21218.438014
  20.200000, 21323.970789
  20.300000, 21429.522034
  20.400000, 21535.073279
  20.500000, 21640.624524
  20.600000, 21746.175769
  20.700000, 21851.727014
  20.800000, 21957.278259
  20.900000, 22062.829504
  21.000000, 22168.380749
  21.100000, 22273.931994
  21.200000, 22379.641397
  21.300000, 22485.370547
  21.400000, 22591.099697
  21.500000, 22696.828847
  21.600000, 22802.557997
  21.700000, 22908.287147
  21.800000, 23014.016297
  21.900000, 23119.745448
  22.000000, 23225.474598
