V (EAS), 
  46.945335,    0.000000
  46.945335,    1.000000
  49.105934,    1.094251
  51.266533,    1.192660
  53.427133,    1.295307
  55.587732,    1.402190
  57.748331,    1.513309
  59.908931,    1.628666
  62.069530,    1.748259
  64.230130,    1.872089
  66.390729,    2.000000
  84.501602,    2.000000
  84.501602,    0.000000
