alpha_b, CM
  -4.000000,    0.604909
  -3.794872,    0.598480
  -3.589744,    0.595011
  -3.384615,    0.593536
  -3.179487,    0.589499
  -2.974359,    0.583199
  -2.769231,    0.577006
  -2.564103,    0.570998
  -2.358974,    0.565475
  -2.153846,    0.560129
  -1.948718,    0.555099
  -1.743590,    0.550230
  -1.538462,    0.545417
  -1.333333,    0.540691
  -1.128205,    0.536192
  -0.923077,    0.531755
  -0.717949,    0.527518
  -0.512821,    0.523211
  -0.307692,    0.519166
  -0.102564,    0.515100
   0.102564,    0.511282
   0.307692,    0.507557
   0.512821,    0.503837
   0.717949,    0.500343
   0.923077,    0.496985
   1.128205,    0.493657
   1.333333,    0.490171
   1.538462,    0.486721
   1.743590,    0.483342
   1.948718,    0.479852
   2.153846,    0.476171
   2.358974,    0.472307
   2.564103,    0.468378
   2.769231,    0.464343
   2.974359,    0.460258
   3.179487,    0.456206
   3.384615,    0.452168
   3.589744,    0.448406
   3.794872,    0.444758
   4.000000,    0.440394
