alpha_b, CM
  -4.000000,    0.444222
  -3.794872,    0.437891
  -3.589744,    0.434510
  -3.384615,    0.433117
  -3.179487,    0.429162
  -2.974359,    0.422942
  -2.769231,    0.416830
  -2.564103,    0.410900
  -2.358974,    0.405455
  -2.153846,    0.400186
  -1.948718,    0.395232
  -1.743590,    0.390439
  -1.538462,    0.385701
  -1.333333,    0.381048
  -1.128205,    0.376623
  -0.923077,    0.372258
  -0.717949,    0.368093
  -0.512821,    0.363856
  -0.307692,    0.359881
  -0.102564,    0.355884
   0.102564,    0.352134
   0.307692,    0.348476
   0.512821,    0.344823
   0.717949,    0.341396
   0.923077,    0.338102
   1.128205,    0.334839
   1.333333,    0.331416
   1.538462,    0.328029
   1.743590,    0.324713
   1.948718,    0.321284
   2.153846,    0.317664
   2.358974,    0.313859
   2.564103,    0.309990
   2.769231,    0.306013
   2.974359,    0.301986
   3.179487,    0.297991
   3.384615,    0.294009
   3.589744,    0.290303
   3.794872,    0.286710
   4.000000,    0.282406
