alpha_b, CM
  -4.000000,    0.630915
  -3.794872,    0.624459
  -3.589744,    0.620965
  -3.384615,    0.619466
  -3.179487,    0.615406
  -2.974359,    0.609082
  -2.769231,    0.602867
  -2.564103,    0.596836
  -2.358974,    0.591290
  -2.153846,    0.585922
  -1.948718,    0.580869
  -1.743590,    0.575978
  -1.538462,    0.571143
  -1.333333,    0.566395
  -1.128205,    0.561875
  -0.923077,    0.557416
  -0.717949,    0.553158
  -0.512821,    0.548830
  -0.307692,    0.544764
  -0.102564,    0.540678
   0.102564,    0.536839
   0.307692,    0.533093
   0.512821,    0.529353
   0.717949,    0.525839
   0.923077,    0.522461
   1.128205,    0.519114
   1.333333,    0.515608
   1.538462,    0.512138
   1.743590,    0.508740
   1.948718,    0.505231
   2.153846,    0.501531
   2.358974,    0.497647
   2.564103,    0.493700
   2.769231,    0.489646
   2.974359,    0.485544
   3.179487,    0.481473
   3.384615,    0.477417
   3.589744,    0.473637
   3.794872,    0.469971
   4.000000,    0.465588
