alpha_b, CM
  -4.000000,    0.082453
  -3.794872,    0.076243
  -3.589744,    0.072970
  -3.384615,    0.071678
  -3.179487,    0.067822
  -2.974359,    0.061699
  -2.769231,    0.055682
  -2.564103,    0.049847
  -2.358974,    0.044494
  -2.153846,    0.039316
  -1.948718,    0.034451
  -1.743590,    0.029745
  -1.538462,    0.025092
  -1.333333,    0.020524
  -1.128205,    0.016181
  -0.923077,    0.011897
  -0.717949,    0.007811
  -0.512821,    0.003653
  -0.307692,   -0.000247
  -0.102564,   -0.004168
   0.102564,   -0.007845
   0.307692,   -0.011432
   0.512821,   -0.015015
   0.717949,   -0.018374
   0.923077,   -0.021600
   1.128205,   -0.024797
   1.333333,   -0.028155
   1.538462,   -0.031480
   1.743590,   -0.034735
   1.948718,   -0.038104
   2.153846,   -0.041665
   2.358974,   -0.045413
   2.564103,   -0.049227
   2.769231,   -0.053149
   2.974359,   -0.057123
   3.179487,   -0.061066
   3.384615,   -0.064998
   3.589744,   -0.068655
   3.794872,   -0.072201
   4.000000,   -0.076452
