alpha_b, CM
  -4.000000,    0.588920
  -3.794872,    0.582510
  -3.589744,    0.579059
  -3.384615,    0.577600
  -3.179487,    0.573579
  -2.974359,    0.567295
  -2.769231,    0.561119
  -2.564103,    0.555127
  -2.358974,    0.549620
  -2.153846,    0.544289
  -1.948718,    0.539274
  -1.743590,    0.534421
  -1.538462,    0.529623
  -1.333333,    0.524912
  -1.128205,    0.520429
  -0.923077,    0.516007
  -0.717949,    0.511784
  -0.512821,    0.507492
  -0.307692,    0.503462
  -0.102564,    0.499410
   0.102564,    0.495606
   0.307692,    0.491895
   0.512821,    0.488189
   0.717949,    0.484710
   0.923077,    0.481366
   1.128205,    0.478052
   1.333333,    0.474579
   1.538462,    0.471143
   1.743590,    0.467778
   1.948718,    0.464301
   2.153846,    0.460633
   2.358974,    0.456782
   2.564103,    0.452866
   2.769231,    0.448844
   2.974359,    0.444773
   3.179487,    0.440733
   3.384615,    0.436707
   3.589744,    0.432958
   3.794872,    0.429322
   4.000000,    0.424972
