alpha_b, CM
  -4.000000,    0.266210
  -3.794872,    0.259951
  -3.589744,    0.256635
  -3.384615,    0.255302
  -3.179487,    0.251407
  -2.974359,    0.245246
  -2.769231,    0.239191
  -2.564103,    0.233319
  -2.358974,    0.227930
  -2.153846,    0.222717
  -1.948718,    0.217817
  -1.743590,    0.213078
  -1.538462,    0.208392
  -1.333333,    0.203792
  -1.128205,    0.199418
  -0.923077,    0.195104
  -0.717949,    0.190987
  -0.512821,    0.186800
  -0.307692,    0.182873
  -0.102564,    0.178924
   0.102564,    0.175220
   0.307692,    0.171608
   0.512821,    0.167999
   0.717949,    0.164616
   0.923077,    0.161366
   1.128205,    0.158146
   1.333333,    0.154765
   1.538462,    0.151419
   1.743590,    0.148143
   1.948718,    0.144754
   2.153846,    0.141173
   2.358974,    0.137407
   2.564103,    0.133575
   2.769231,    0.129635
   2.974359,    0.125645
   3.179487,    0.121685
   3.384615,    0.117738
   3.589744,    0.114066
   3.794872,    0.110506
   4.000000,    0.106239
