alpha_b, CM
  -4.000000,   -0.101393
  -3.794872,   -0.107581
  -3.589744,   -0.110834
  -3.384615,   -0.112109
  -3.179487,   -0.115948
  -2.974359,   -0.122054
  -2.769231,   -0.128056
  -2.564103,   -0.133877
  -2.358974,   -0.139216
  -2.153846,   -0.144381
  -1.948718,   -0.149234
  -1.743590,   -0.153928
  -1.538462,   -0.158570
  -1.333333,   -0.163128
  -1.128205,   -0.167462
  -0.923077,   -0.171737
  -0.717949,   -0.175816
  -0.512821,   -0.179967
  -0.307692,   -0.183859
  -0.102564,   -0.187775
   0.102564,   -0.191447
   0.307692,   -0.195029
   0.512821,   -0.198609
   0.717949,   -0.201964
   0.923077,   -0.205188
   1.128205,   -0.208383
   1.333333,   -0.211741
   1.538462,   -0.215065
   1.743590,   -0.218320
   1.948718,   -0.221690
   2.153846,   -0.225253
   2.358974,   -0.229003
   2.564103,   -0.232819
   2.769231,   -0.236745
   2.974359,   -0.240723
   3.179487,   -0.244671
   3.384615,   -0.248608
   3.589744,   -0.252271
   3.794872,   -0.255823
   4.000000,   -0.260083
