CD, CL
   0.046450,    1.380140
   0.045249,    1.457514
   0.044383,    1.534888
   0.043828,    1.612262
   0.043609,    1.689636
   0.043698,    1.767010
   0.044112,    1.844384
   0.044842,    1.921758
   0.045888,    1.999132
   0.047259,    2.076506
   0.048941,    2.153880
   0.050949,    2.231254
   0.053274,    2.308628
   0.055928,    2.386002
   0.058907,    2.463376
   0.062201,    2.540750
   0.065819,    2.618123
   0.069754,    2.695497
   0.074005,    2.772871
   0.078582,    2.850245
   0.083470,    2.927619
   0.088679,    3.004993
   0.094068,    3.082367
   0.099193,    3.159709
   0.103581,    3.232840
   0.106765,    3.291094
   0.108365,    3.326685
   0.108119,    3.335867
