CD, CL
   0.008078,   -0.182693
   0.006877,   -0.123102
   0.006011,   -0.063511
   0.005456,   -0.003920
   0.005237,    0.055671
   0.005326,    0.115263
   0.005740,    0.174854
   0.006469,    0.234445
   0.007516,    0.294036
   0.008886,    0.353627
   0.010569,    0.413218
   0.012576,    0.472809
   0.014902,    0.532400
   0.017556,    0.591991
   0.020535,    0.651582
   0.023829,    0.711173
   0.027447,    0.770765
   0.031382,    0.830356
   0.035633,    0.889947
   0.040209,    0.949538
   0.045097,    1.009129
   0.050307,    1.068708
   0.055695,    1.126607
   0.060821,    1.178144
   0.065209,    1.218871
   0.068393,    1.245002
   0.069993,    1.253412
   0.069746,    1.241637
   0.067535,    1.207872
   0.063434,    1.150973
