Time, Bank Angle
   0.000000,    0.000000
   0.500000,    0.000000
   1.000000,    0.000000
   1.500000,    0.000000
   2.000000,    0.000000
   2.500000,    0.000000
   3.000000,    0.000000
   3.500000,    0.000000
   4.000000,    0.000000
   4.500000,    0.000000
   5.000000,    0.000000
   5.500000,    0.000000
   6.000000,    0.000000
   6.500000,    0.000000
   7.000000,    0.000000
   7.500000,    0.000000
   8.000000,    0.000000
   8.500000,    0.000000
   9.000000,    0.000000
   9.500000,    0.000000
  10.000000,    0.000000
  10.500000,    0.000000
  11.000000,    0.000000
  11.500000,    0.000000
  12.000000,    0.000000
  12.500000,    0.000000
  13.000000,    0.000000
  13.500000,    0.000000
  14.000000,    0.000000
  14.500000,    0.000000
  15.000000,    0.000000
  15.500000,    6.705690
  16.000000,    8.178248
  16.500000,    8.246184
  17.000000,    8.037319
  17.500000,    7.782447
  18.000000,    7.526906
  18.500000,    7.278225
  19.000000,    7.036648
  19.500000,    6.801364
  20.000000,    6.571710
  20.500000,    6.347331
  21.000000,    6.128134
  21.500000,    5.914212
  22.000000,    5.705763
  22.500000,    5.503037
  23.000000,    5.306283
  23.500000,    5.115720
  24.000000,    4.931513
  24.500000,    4.753763
  25.000000,    4.582507
  25.500000,    4.417714
  26.000000,    4.259294
  26.500000,    4.107110
  27.000000,    3.960981
  27.500000,    3.820696
  28.000000,    3.686023
  28.500000,    3.556714
  29.000000,    3.432517
  29.500000,    3.313180
  30.000000,    3.198456
  30.500000,    3.088108
  31.000000,    2.981907
  31.500000,    2.879642
  32.000000,    2.781114
  32.500000,    2.686138
  33.000000,    2.594544
  33.500000,    2.506177
  34.000000,    2.420893
  34.500000,    2.338561
  35.000000,    2.259059
  35.500000,    2.182276
  36.000000,    2.108108
  36.500000,    2.036458
  37.000000,    1.967237
  37.500000,    1.900359
  38.000000,    1.835743
  38.500000,    1.773311
  39.000000,    1.712991
  39.500000,    1.654710
  40.000000,    1.598401
  40.500000,    1.543998
  41.000000,    1.491436
  41.500000,    1.440653
  42.000000,    1.391589
  42.500000,    1.344185
  43.000000,    1.298385
  43.500000,    1.254134
  44.000000,    1.211379
  44.500000,    1.170068
  45.000000,    1.130152
  45.500000,    1.091583
  46.000000,    1.054315
  46.500000,    1.018302
  47.000000,    0.983502
  47.500000,    0.949874
  48.000000,    0.917377
  48.500000,    0.885973
  49.000000,    0.855625
  49.500000,    0.826298
  50.000000,    0.797956
  50.500000,    0.770566
  51.000000,    0.744098
  51.500000,    0.718519
  52.000000,    0.693801
  52.500000,    0.669914
  53.000000,    0.646831
  53.500000,    0.624526
  54.000000,    0.602972
  54.500000,    0.582144
  55.000000,    0.562019
  55.500000,    0.542573
  56.000000,    0.523784
  56.500000,    0.505629
  57.000000,    0.488089
  57.500000,    0.471142
  58.000000,    0.454770
  58.500000,    0.438952
  59.000000,    0.423671
  59.500000,    0.408909
  60.000000,    0.394648
  60.500000,    0.380873
  61.000000,    0.367566
  61.500000,    0.354712
  62.000000,    0.342297
  62.500000,    0.330306
  63.000000,    0.318724
  63.500000,    0.307538
  64.000000,    0.296735
  64.500000,    0.286302
  65.000000,    0.276227
  65.500000,    0.266498
  66.000000,    0.257102
  66.500000,    0.248030
  67.000000,    0.239270
  67.500000,    0.230812
  68.000000,    0.222646
  68.500000,    0.214762
  69.000000,    0.207150
  69.500000,    0.199802
  70.000000,    0.192708
  70.500000,    0.185860
  71.000000,    0.179249
  71.500000,    0.172869
  72.000000,    0.166710
  72.500000,    0.160765
  73.000000,    0.155028
  73.500000,    0.149491
  74.000000,    0.144147
  74.500000,    0.138990
  75.000000,    0.134013
  75.500000,    0.129211
  76.000000,    0.124577
  76.500000,    0.120106
  77.000000,    0.115791
  77.500000,    0.111629
  78.000000,    0.107613
  78.500000,    0.103738
  79.000000,    0.100000
  79.500000,    0.096395
  80.000000,    0.092916
  80.500000,    0.089561
  81.000000,    0.086324
  81.500000,    0.083202
  82.000000,    0.080191
  82.500000,    0.077287
  83.000000,    0.074486
  83.500000,    0.071784
  84.000000,    0.069179
  84.500000,    0.066667
  85.000000,    0.064244
  85.500000,    0.076314
  86.000000,    0.076373
  86.500000,    0.074030
  87.000000,    0.071420
  87.500000,    0.068912
  88.000000,    0.066526
  88.500000,    0.064226
  89.000000,    0.061978
  89.500000,    0.059763
  90.000000,    0.057571
  90.500000,    0.055403
  91.000000,    0.053263
  91.500000,    0.051161
  92.000000,    0.049108
  92.500000,    0.047112
  93.000000,    0.045183
  93.500000,    0.043326
  94.000000,    0.041548
  94.500000,    0.039849
  95.000000,    0.038231
  95.500000,    0.036693
  96.000000,    0.035232
  96.500000,    0.033846
  97.000000,    0.032531
  97.500000,    0.031282
  98.000000,    0.030095
  98.500000,    0.028966
  99.000000,    0.027891
  99.500000,    0.026865
 100.000000,    0.025885
 100.500000,    0.024948
 101.000000,    0.024051
 101.500000,    0.023190
 102.000000,    0.022364
 102.500000,    0.021570
 103.000000,    0.020806
 103.500000,    0.020072
 104.000000,    0.019364
 104.500000,    0.018683
 105.000000,    0.018027
 105.500000,    0.017394
 106.000000,    0.016784
 106.500000,    0.016197
 107.000000,    0.015630
 107.500000,    0.015085
 108.000000,    0.014558
 108.500000,    0.014051
