Time, Bank Angle
 109.000000,    0.013562
 109.500000,    0.013090
 110.000000,    0.012636
 110.500000,    0.012198
 111.000000,    0.011775
 111.500000,    0.011368
 112.000000,    0.010975
 112.500000,    0.010596
 113.000000,    0.010231
 113.500000,    0.009878
 114.000000,    0.009538
 114.500000,    0.009210
 115.000000,    0.008893
 115.500000,    0.008587
 116.000000,    0.008292
 116.500000,    0.008008
 117.000000,    0.007733
 117.500000,    0.007467
 118.000000,    0.007211
 118.500000,    0.006964
 119.000000,    0.006725
 119.500000,    0.006494
 120.000000,    0.006271
 120.500000,    0.006055
 121.000000,    0.005848
 121.500000,    0.005647
 122.000000,    0.005453
 122.500000,    0.005265
 123.000000,    0.005084
 123.500000,    0.004909
 124.000000,    0.004740
 124.500000,    0.004577
 125.000000,    0.004420
 125.500000,    0.004267
 126.000000,    0.004120
 126.500000,    0.003978
 127.000000,    0.003841
 127.500000,    0.003708
 128.000000,    0.003580
 128.500000,    0.003457
 129.000000,    0.003337
 129.500000,    0.003222
 130.000000,    0.003110
 130.500000,    0.003002
 131.000000,    0.002898
 131.500000,    0.002798
 132.000000,    0.002700
 132.500000,    0.002607
 133.000000,    0.002516
 133.500000,    0.002428
 134.000000,    0.002344
 134.500000,    0.002262
 135.000000,    0.002183
 135.500000,    0.002107
 136.000000,    0.002034
 136.500000,    0.001962
 137.000000,    0.001894
 137.500000,    0.001828
 138.000000,    0.001764
 138.500000,    0.001702
 139.000000,    0.001642
 139.500000,    0.001584
 140.000000,    0.001529
 140.500000,    0.001475
 141.000000,    0.001423
 141.500000,    0.001373
 142.000000,    0.001324
 142.500000,    0.001278
 143.000000,    0.001233
 143.500000,    0.001189
 144.000000,    0.001147
 144.500000,    0.001106
 145.000000,    0.001067
 145.500000,    0.001029
 146.000000,    0.000993
 146.500000,    0.000958
 147.000000,    0.000924
 147.500000,    0.000891
 148.000000,    0.000859
 148.500000,    0.000828
 149.000000,    0.000799
 149.500000,    0.000770
 150.000000,    0.000743
 150.500000,    0.000716
 151.000000,    0.000691
 151.500000,    0.000666
 152.000000,    0.000642
 152.500000,    0.000619
 153.000000,    0.000597
 153.500000,    0.000576
 154.000000,    0.000555
 154.500000,    0.000535
 155.000000,    0.000516
 155.500000,    0.000497
 156.000000,    0.000479
 156.500000,    0.000462
 157.000000,    0.000445
 157.500000,    0.000429
 158.000000,    0.000414
 158.500000,    0.000399
 159.000000,    0.000384
 159.500000,    0.000371
 160.000000,    0.000357
 160.500000,    0.000344
 161.000000,    0.000332
 161.500000,    0.000320
 162.000000,    0.000308
 162.500000,    0.000297
 163.000000,    0.000286
 163.500000,    0.000276
 164.000000,    0.000266
 164.500000,    0.000256
 165.000000,    0.000247
 165.500000,    0.000238
 166.000000,    0.000229
 166.500000,    0.000221
 167.000000,    0.000213
 167.500000,    0.000205
 168.000000,    0.000197
 168.500000,    0.000190
 169.000000,    0.000183
 169.500000,    0.000177
 170.000000,    0.000170
 170.500000,    0.000164
 171.000000,    0.000158
 171.500000,    0.000152
 172.000000,    0.000147
 172.500000,    0.000141
 173.000000,    0.000136
 173.500000,    0.000131
 174.000000,    0.000126
 174.500000,    0.000122
 175.000000,    0.000117
 175.500000,    0.000113
 176.000000,    0.000109
 176.500000,    0.000105
 177.000000,    0.000101
 177.500000,    0.000097
 178.000000,    0.000093
 178.500000,    0.000090
 179.000000,    0.000087
 179.500000,    0.000083
 180.000000,    0.000080
