Time, CL
   0.000100,    1.138032
   0.000834,    1.138032
   0.002967,    1.138032
   0.009792,    1.138032
   0.025473,    1.138032
   0.054691,    1.138032
   0.086584,    1.138032
   0.118497,    1.138032
   0.150477,    1.138032
   0.182575,    1.138032
   0.214598,    1.138032
   0.246645,    1.138032
   0.278807,    1.138032
   0.311205,    1.138032
   0.343744,    1.138032
   0.376610,    1.138032
   0.409437,    1.138032
   0.442098,    1.138032
   0.475380,    1.138032
   0.508802,    1.138032
   0.542691,    1.138032
   0.576872,    1.138032
   0.611190,    1.138032
   0.645661,    1.138032
   0.681073,    1.138032
   0.716023,    1.138032
   0.751346,    1.138032
   0.787223,    1.138032
   0.823036,    1.138032
   0.859491,    1.138032
   0.896032,    1.138032
   0.932923,    1.138032
   0.970558,    1.138032
   1.008334,    1.138032
   1.046211,    1.138032
   1.084504,    1.138032
   1.123228,    1.138032
   1.162176,    1.138032
   1.201593,    1.138032
   1.240834,    1.138032
   1.280330,    1.138032
   1.321312,    1.138032
   1.361860,    1.138032
   1.402979,    1.138032
   1.444087,    1.138032
   1.485289,    1.138032
   1.527210,    1.138032
   1.569012,    1.138032
   1.611618,    1.138032
   1.654627,    1.138032
   1.698050,    1.138032
   1.741272,    1.138032
   1.785347,    1.138032
   1.830086,    1.138032
   1.874700,    1.138032
   1.919726,    1.138032
   1.965505,    1.138032
   2.011398,    1.138032
   2.057207,    1.138032
   2.103784,    1.138032
   2.151352,    1.138032
   2.198282,    1.138032
   2.245707,    1.138032
   2.293950,    1.138032
   2.342116,    1.138032
   2.390565,    1.138032
   2.439966,    1.138032
   2.489123,    1.138032
   2.538329,    1.138032
   2.588472,    1.138032
   2.638665,    1.138032
   2.689337,    1.138032
   2.740583,    1.138032
   2.791988,    1.138032
   2.844375,    1.138032
   2.896152,    1.138032
   2.948815,    1.138032
   3.001783,    1.138032
   3.055601,    1.138032
   3.109170,    1.138032
   3.162847,    1.138032
   3.216731,    1.138032
   3.270720,    1.138032
   3.325604,    1.138032
   3.380484,    1.138032
   3.435999,    1.138032
   3.491440,    1.138032
   3.547244,    1.138032
   3.603226,    1.138032
   3.659747,    1.138032
   3.716274,    1.138032
   3.773259,    1.138032
   3.830391,    1.138032
   3.888771,    1.138032
   3.947212,    1.138032
   4.005739,    1.138032
   4.064076,    1.138032
   4.123513,    1.138032
   4.183044,    1.138032
   4.242538,    1.138032
   4.244958,    1.138032
   4.245298,    1.138032
   4.245381,    1.138032
   4.245535,    1.138032
   4.245579,    1.138032
   4.245604,    1.138032
   4.245621,    1.138032
   4.245632,    1.138032
   4.245636,    1.138032
   4.245641,    1.138032
   4.245684,    1.138032
   4.246116,    1.138032
   4.248393,    1.138032
   4.257353,    1.138032
   4.282135,    1.138032
   4.340283,    1.138032
   4.394126,    1.138032
   4.448309,    1.138032
   4.503118,    1.138032
   4.557931,    1.138032
   4.612914,    1.138032
   4.667921,    1.138032
   4.723564,    1.138032
   4.779656,    1.138032
   4.835523,    1.138032
   4.891466,    1.138032
   4.948394,    1.138032
   5.004885,    1.138032
   5.061558,    1.138032
   5.118789,    1.138032
   5.175907,    1.138032
   5.233683,    1.138032
   5.291254,    1.138032
   5.349276,    1.138032
   5.407373,    1.138032
   5.465637,    1.138032
   5.524194,    1.138032
   5.583361,    1.138032
   5.642844,    1.138032
   5.702453,    1.138032
   5.761968,    1.138032
   5.822072,    1.138032
   5.882416,    1.138032
   5.942523,    1.138032
   6.003003,    1.138032
   6.063572,    1.138032
   6.124959,    1.138032
   6.186656,    1.138032
   6.248313,    1.138032
   6.309797,    1.138032
   6.371660,    1.138032
   6.433598,    1.138032
   6.496595,    1.138032
   6.559470,    1.138032
   6.622180,    1.138032
   6.685072,    1.138032
   6.748117,    1.138032
   6.811436,    1.138032
   6.875142,    1.138032
   6.939253,    1.138032
   7.003860,    1.138032
   7.067838,    1.138032
   7.132584,    1.138032
   7.197590,    1.138032
   7.262956,    1.138032
   7.328023,    1.138032
   7.393741,    1.138032
   7.459619,    1.138032
   7.525777,    1.138032
   7.592160,    1.138032
   7.658295,    1.138032
   7.724941,    1.138032
   7.791912,    1.138032
   7.858975,    1.138032
   7.926408,    1.138032
   7.994069,    1.138032
   8.061920,    1.138032
   8.130100,    1.138032
   8.198412,    1.138032
   8.266855,    1.138032
   8.335646,    1.138032
   8.404606,    1.138032
   8.473788,    1.138032
   8.543114,    1.138032
   8.612552,    1.138032
   8.681995,    1.138032
   8.695986,    1.138032
   8.703748,    1.138032
   8.709475,    1.138032
   8.710342,    1.138032
   8.711516,    1.138032
   8.711771,    1.138032
   8.712134,    1.138032
   8.712248,    1.138032
   8.712422,    1.138032
   8.712474,    1.138032
   8.712505,    1.138032
   8.712514,    1.138032
   8.712521,    1.138032
   8.712600,    1.138032
   8.713324,    1.138032
   8.716907,    1.138032
   8.732208,    1.138032
   8.773905,    1.138032
   8.835771,    1.138032
   8.897973,    1.138032
   8.960570,    1.138032
   9.023113,    1.138032
   9.086322,    1.138032
   9.149421,    1.138032
   9.212542,    1.138032
   9.275881,    1.138032
   9.339697,    1.138032
   9.403018,    1.138032
   9.466996,    1.138032
   9.530948,    1.138032
   9.595196,    1.138032
   9.659424,    1.138032
   9.723810,    1.138032
   9.788127,    1.138032
   9.853061,    1.138032
   9.917920,    1.138032
   9.982975,    1.138032
  10.048313,    1.138032
  10.113614,    1.138032
  10.179234,    1.138032
  10.245157,    1.138032
  10.311225,    1.138032
  10.377115,    1.138032
  10.443113,    1.138032
  10.509364,    1.138032
  10.576058,    1.138032
  10.642633,    1.138032
  10.709614,    1.138032
  10.776693,    1.138032
  10.843633,    1.138032
  10.910889,    1.138032
  10.978463,    1.138032
  11.046239,    1.138032
  11.113874,    1.138032
  11.181943,    1.138032
  11.250056,    1.138032
  11.318218,    1.138032
  11.386721,    1.138032
  11.455507,    1.138032
  11.524294,    1.138032
  11.593183,    1.138032
  11.662252,    1.138032
  11.731771,    1.138032
  11.801310,    1.138032
  11.870761,    1.138032
  11.940533,    1.138032
  12.010474,    1.138032
  12.080537,    1.138032
  12.150879,    1.138032
  12.221220,    1.138032
  12.291768,    1.138032
  12.362501,    1.138032
  12.433354,    1.138032
  12.504003,    1.138032
