eta, Cd
   0.000000,    0.011667
   0.020408,    0.011799
   0.040816,    0.011820
   0.061224,    0.011827
   0.081633,    0.011829
   0.102041,    0.011828
   0.122449,    0.011826
   0.142857,    0.011822
   0.163265,    0.011818
   0.183673,    0.011814
   0.204082,    0.011810
   0.224490,    0.011809
   0.244898,    0.011808
   0.265306,    0.011806
   0.285714,    0.011804
   0.306122,    0.011778
   0.326531,    0.011696
   0.346939,    0.011604
   0.367347,    0.011512
   0.387755,    0.011420
   0.408163,    0.011326
   0.428571,    0.011231
   0.448980,    0.011135
   0.469388,    0.011042
   0.489796,    0.010949
   0.510204,    0.010855
   0.530612,    0.010760
   0.551020,    0.010665
   0.571429,    0.010568
   0.591837,    0.010471
   0.612245,    0.010373
   0.632653,    0.010273
   0.653061,    0.010172
   0.673469,    0.010070
   0.693878,    0.009967
   0.714286,    0.009863
   0.734694,    0.009757
   0.755102,    0.009649
   0.775510,    0.009540
   0.795918,    0.009430
   0.816327,    0.009332
   0.836735,    0.009246
   0.857143,    0.009163
   0.877551,    0.009088
   0.897959,    0.009026
   0.918367,    0.008991
   0.938776,    0.009036
   0.959184,    0.009425
   0.979592,    0.012212
   1.000000,   -0.008971
