"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 16/01/16, 19.28.43"


12
X,Y
0.0,0.0,
0.0920888,0.195140,
0.181787,0.354342,
0.275025,0.511818,
0.351808,0.627125,
0.441842,0.739021,
0.545153,0.844001,
0.633692,0.918214,
0.729377,0.979335,
0.844513,1.03358,
0.942130,1.07106,
1.0,1.08195,
