"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 16/01/16, 19.23.46"


10
X,Y
0.1,0.262388,
0.133591,0.247840,
0.165370,0.236198,
0.191855,0.227910,
0.213879,0.220965,
0.251240,0.211326,
0.290557,0.203469,
0.334617,0.196501,
0.380910,0.190199,
0.4,0.188169,
