"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 16/01/16, 19.31.01"


20
X,Y
0.0,0.0,
0.0393618,0.169363,
0.0790159,0.297552,
0.120415,0.428381,
0.154096,0.528492,
0.190403,0.631250,
0.234559,0.746329,
0.277940,0.846508,
0.332765,0.949396,
0.372842,1.01801,
0.440962,1.11136,
0.490851,1.16427,
0.537281,1.20753,
0.591666,1.24821,
0.647876,1.28014,
0.727908,1.31049,
0.793943,1.32497,
0.879395,1.33696,
0.944642,1.33829,
1.0,1.33600,
