"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 25/01/16, 15.14.02"


17
X,Y
0.0,0.0,
0.0454662,0.0736437,
0.0909273,0.148205,
0.142800,0.224636,
0.191951,0.295548,
0.246576,0.371994,
0.298494,0.440169,
0.364995,0.525854,
0.432464,0.602371,
0.499030,0.676131,
0.571122,0.746252,
0.637774,0.804416,
0.708121,0.858013,
0.797718,0.914469,
0.857178,0.945988,
0.932223,0.979429,
1.0,1.0,
