"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 16/01/16, 19.47.42"


21
X,Y
0.0,0.0,
0.0416734,0.0153273,
0.100306,0.0290400,
0.134437,0.0357875,
0.166235,0.0410875,
0.217187,0.0451477,
0.285203,0.0483978,
0.330417,0.0495633,
0.375431,0.0491733,
0.410651,0.0477137,
0.451194,0.0459306,
0.491612,0.0431820,
0.543577,0.0384451,
0.586966,0.0337645,
0.657850,0.0259641,
0.708576,0.0199402,
0.761504,0.0143447,
0.800684,0.0103092,
0.873962,0.00443895,
0.929388,0.00157825,
1.0,0.0,
