"Y(X), created by Plot Digitizer, 2.6.4"
"Date: 16/01/16, 17.15.06"


24
X,Y
0.0,0.903750,
4.92800,0.899213,
8,0.894028,
9.72800,0.886898,
11.7760,0.871343,
13.3760,0.857731,
14.9120,0.828565,
15.8720,0.807176,
17.1520,0.760509,
18.3040,0.713194,
18.8800,0.682083,
19.6480,0.656806,
20.4160,0.629583,
21.9520,0.596528,
23.6160,0.564768,
25.6640,0.538843,
27.7120,0.516157,
30.0800,0.496713,
34.3680,0.464306,
38.8480,0.440324,
43.2640,0.419583,
48.1920,0.399491,
53.6960,0.381343,
60.0,0.361250,
