CD, CL
   0.011038,   -0.053094
   0.009510,   -0.013433
   0.008304,    0.023738
   0.007318,    0.060711
   0.006549,    0.097492
   0.005999,    0.134087
   0.005659,    0.170503
   0.005525,    0.206747
   0.005601,    0.242824
   0.005878,    0.278741
   0.006355,    0.314505
   0.007044,    0.350753
   0.007974,    0.388224
   0.009131,    0.425909
   0.010520,    0.463815
   0.012159,    0.502211
   0.014167,    0.543279
   0.016768,    0.589895
   0.020190,    0.643625
   0.024619,    0.704542
   0.030137,    0.771250
   0.036653,    0.840961
   0.043815,    0.909612
   0.050989,    0.972178
   0.057186,    1.022359
