CD, CL
   0.011018,   -0.476551
   0.009490,   -0.436890
   0.008284,   -0.399719
   0.007298,   -0.362746
   0.006529,   -0.325965
   0.005979,   -0.289370
   0.005639,   -0.252953
   0.005505,   -0.216710
   0.005581,   -0.180633
   0.005858,   -0.144716
   0.006335,   -0.108952
   0.007024,   -0.072704
   0.007954,   -0.035232
   0.009111,    0.002452
   0.010500,    0.040358
   0.012139,    0.078755
   0.014147,    0.119822
   0.016748,    0.166438
   0.020170,    0.220169
   0.024599,    0.281086
   0.030117,    0.347793
   0.036633,    0.417504
   0.043795,    0.486155
   0.050969,    0.548721
   0.057166,    0.598902
