CD, CL
   0.010638,   -0.264822
   0.009110,   -0.225162
   0.007904,   -0.187991
   0.006918,   -0.151018
   0.006149,   -0.114237
   0.005599,   -0.077641
   0.005259,   -0.041225
   0.005125,   -0.004982
   0.005201,    0.031096
   0.005478,    0.067013
   0.005955,    0.102776
   0.006644,    0.139024
   0.007574,    0.176496
   0.008731,    0.214181
   0.010120,    0.252086
   0.011759,    0.290483
   0.013767,    0.331550
   0.016368,    0.378166
   0.019790,    0.431897
   0.024219,    0.492814
   0.029737,    0.559521
   0.036253,    0.629233
   0.043415,    0.697884
   0.050589,    0.760449
   0.056786,    0.810630
