eta, Cl
   0.000000,    0.155993
   0.020408,    0.156582
   0.040816,    0.157715
   0.061224,    0.158805
   0.081633,    0.159850
   0.102041,    0.160848
   0.122449,    0.161798
   0.142857,    0.162697
   0.163265,    0.163545
   0.183673,    0.164340
   0.204082,    0.165079
   0.224490,    0.165761
   0.244898,    0.166385
   0.265306,    0.166947
   0.285714,    0.167445
   0.306122,    0.167878
   0.326531,    0.168241
   0.346939,    0.168532
   0.367347,    0.168747
   0.387755,    0.168883
   0.408163,    0.168935
   0.428571,    0.168897
   0.448980,    0.168765
   0.469388,    0.168533
   0.489796,    0.168194
   0.510204,    0.167739
   0.530612,    0.167160
   0.551020,    0.166447
   0.571429,    0.165590
   0.591837,    0.164578
   0.612245,    0.163395
   0.632653,    0.162026
   0.653061,    0.160453
   0.673469,    0.158654
   0.693878,    0.156606
   0.714286,    0.154280
   0.734694,    0.151642
   0.755102,    0.148654
   0.775510,    0.145266
   0.795918,    0.141423
   0.816327,    0.137051
   0.836735,    0.132062
   0.857143,    0.126339
   0.877551,    0.119728
   0.897959,    0.112013
   0.918367,    0.102878
   0.938776,    0.091812
   0.959184,    0.077878
   0.979592,    0.058843
   1.000000,    0.000000
