Cl, Efficiency
  -0.343931,  -10.135822
  -0.288241,   -9.308045
  -0.232495,   -8.160654
  -0.176691,   -6.671496
  -0.120831,   -4.837643
  -0.064912,   -2.710721
  -0.008938,   -0.381673
   0.047096,    2.015712
   0.103188,    4.333512
   0.159340,    6.439929
   0.215549,    8.234599
   0.271820,    9.674357
   0.328150,   10.751504
   0.386699,   11.564281
   0.443094,   12.020467
   0.499551,   12.246690
   0.556069,   12.294794
   0.612649,   12.209380
   0.669294,   12.031107
   0.726001,   11.783526
   0.782774,   11.495232
   0.839612,   11.180257
   0.896517,   10.852524
   0.953489,   10.519439
   1.010528,   10.187916
   1.067636,    9.860575
   1.124808,    9.535045
   1.182050,    9.218097
   1.239362,    8.909263
   1.295054,    8.600402
