Cl, Efficiency
  -0.377894,  -11.136730
  -0.316719,  -10.227689
  -0.255481,   -8.967480
  -0.194176,   -7.331730
  -0.132809,   -5.317199
  -0.071374,   -2.980569
  -0.009876,   -0.421739
   0.051690,    2.212318
   0.113321,    4.759074
   0.175021,    7.073709
   0.236787,    9.045918
   0.298621,   10.628244
   0.360523,   11.812195
   0.424866,   12.705675
   0.486845,   13.207357
   0.548894,   13.456347
   0.611013,   13.509602
   0.673202,   13.416123
   0.735465,   13.220584
   0.797799,   12.950997
   0.860209,   12.636123
   0.922693,   12.291467
   0.985253,   11.932419
   1.047889,   11.567192
   1.110604,   11.203451
   1.173396,   10.844364
   1.236262,   10.487716
   1.299210,   10.140276
   1.362237,    9.802853
   1.423491,    9.465196
