CD, CL
   0.011051,    0.000000
   0.011760,    0.054608
   0.013917,    0.109216
   0.017474,    0.163823
   0.022483,    0.218431
   0.028885,    0.273039
   0.036760,    0.327647
   0.046034,    0.382255
   0.056753,    0.436796
   0.068788,    0.490972
   0.082073,    0.544436
   0.096430,    0.596855
   0.111722,    0.647907
   0.127738,    0.697278
   0.144280,    0.744668
   0.161107,    0.789785
   0.177972,    0.832351
   0.194626,    0.872095
   0.210799,    0.908760
   0.226262,    0.942098
