eta, Cd
   0.000000,    0.032394
   0.020408,    0.032925
   0.040816,    0.033136
   0.061224,    0.033294
   0.081633,    0.033427
   0.102041,    0.033545
   0.122449,    0.033652
   0.142857,    0.033760
   0.163265,    0.033867
   0.183673,    0.033969
   0.204082,    0.034066
   0.224490,    0.034159
   0.244898,    0.034250
   0.265306,    0.034338
   0.285714,    0.034417
   0.306122,    0.034542
   0.326531,    0.034805
   0.346939,    0.035066
   0.367347,    0.035324
   0.387755,    0.035577
   0.408163,    0.035826
   0.428571,    0.036068
   0.448980,    0.036304
   0.469388,    0.036533
   0.489796,    0.036755
   0.510204,    0.036966
   0.530612,    0.037167
   0.551020,    0.037358
   0.571429,    0.037535
   0.591837,    0.037699
   0.612245,    0.037847
   0.632653,    0.037976
   0.653061,    0.038085
   0.673469,    0.038169
   0.693878,    0.038225
   0.714286,    0.038248
   0.734694,    0.038232
   0.755102,    0.038168
   0.775510,    0.038061
   0.795918,    0.037912
   0.816327,    0.037684
   0.836735,    0.037358
   0.857143,    0.036905
   0.877551,    0.036371
   0.897959,    0.035673
   0.918367,    0.034839
   0.938776,    0.033952
   0.959184,    0.033782
   0.979592,    0.043076
   1.000000,   -0.051575
