Speed(CAS), Altitude
  59.379305,    0.000000
  59.379306,  100.000000
  59.379306,  200.000000
  59.379306,  300.000000
  59.379306,  400.000000
  59.379306,  500.000000
  59.379306,  600.000000
  59.379306,  700.000000
  59.379306,  800.000000
  59.379306,  900.000000
  59.379306, 1000.000000
  59.379306, 1100.000000
  59.379306, 1200.000000
  59.379306, 1300.000000
  59.379306, 1400.000000
  59.379306, 1500.000000
  59.379306, 1600.000000
  59.379306, 1700.000000
  59.379306, 1800.000000
  59.379306, 1900.000000
  59.379306, 2000.000000
  59.379306, 2100.000000
  59.379306, 2200.000000
  59.379306, 2300.000000
  59.379306, 2400.000000
  59.379306, 2500.000000
  59.379306, 2600.000000
  59.379306, 2700.000000
  59.379306, 2800.000000
  59.379306, 2900.000000
  59.379306, 3000.000000
  59.379306, 3100.000000
  59.379306, 3200.000000
  59.379306, 3300.000000
  59.379306, 3400.000000
  59.379306, 3500.000000
  59.379306, 3600.000000
  59.379306, 3700.000000
  59.379306, 3800.000000
  59.379306, 3900.000000
  59.379306, 4000.000000
  59.379306, 4100.000000
  59.379306, 4200.000000
  59.379306, 4300.000000
  59.379306, 4400.000000
  59.379306, 4500.000000
  59.379306, 4600.000000
  59.379306, 4700.000000
  59.379306, 4800.000000
  59.379306, 4900.000000
  59.379306, 5000.000000
  59.379306, 5100.000000
  59.379306, 5200.000000
  59.379306, 5300.000000
  59.379306, 5400.000000
  59.741572, 5500.000000
  59.917840, 5600.000000
  60.090892, 5700.000000
  60.260749, 5800.000000
  60.602118, 5900.000000
  60.764051, 6000.000000
  61.265866, 6100.000000
  61.758252, 6200.000000
  62.409618, 6300.000000
  62.881757, 6400.000000
  63.675100, 6500.000000
  64.453046, 6600.000000
  65.215696, 6700.000000
  66.284314, 6800.000000
  67.331702, 6900.000000
  68.358000, 7000.000000
  69.519348, 7100.000000
  70.656857, 7200.000000
  72.229628, 7300.000000
  73.769875, 7400.000000
  75.577790, 7500.000000
  78.090163, 7600.000000
  85.254539, 7700.000000
  90.564067, 7600.000000
  92.676189, 7500.000000
  94.522591, 7400.000000
  96.706431, 7300.000000
  98.619006, 7200.000000
  99.939474, 7100.000000
 101.122358, 7000.000000
 102.322247, 6900.000000
 103.539245, 6800.000000
 104.773456, 6700.000000
 106.024983, 6600.000000
 107.128708, 6500.000000
 108.413620, 6400.000000
 109.379454, 6300.000000
 110.356718, 6200.000000
 111.173973, 6100.000000
 111.999612, 6000.000000
 112.833681, 5900.000000
 113.499934, 5800.000000
 114.349386, 5700.000000
 115.207394, 5600.000000
 115.892868, 5500.000000
 116.766493, 5400.000000
 117.464403, 5300.000000
 118.353795, 5200.000000
 119.064265, 5100.000000
 119.780234, 5000.000000
 120.692733, 4900.000000
 121.421442, 4800.000000
 122.155731, 4700.000000
 122.895623, 4600.000000
 123.641143, 4500.000000
 124.192889, 4400.000000
 124.948035, 4300.000000
 125.506033, 4200.000000
 126.066313, 4100.000000
 126.628880, 4000.000000
 127.193738, 3900.000000
 127.760889, 3800.000000
 128.330337, 3700.000000
 128.902087, 3600.000000
 129.476143, 3500.000000
 129.835718, 3400.000000
 130.412619, 3300.000000
 130.991830, 3200.000000
 131.573353, 3100.000000
 131.933262, 3000.000000
 132.291883, 2900.000000
 132.421654, 2800.000000
 132.775831, 2700.000000
 132.897471, 2600.000000
 133.247103, 2500.000000
 133.595344, 2400.000000
 133.705470, 2300.000000
 134.049023, 2200.000000
 134.391124, 2100.000000
 134.731755, 2000.000000
 135.070898, 1900.000000
 135.408535, 1800.000000
 135.744647, 1700.000000
 136.079215, 1600.000000
 136.412223, 1500.000000
 136.743651, 1400.000000
 137.073480, 1300.000000
 137.144192, 1200.000000
 137.468835, 1100.000000
 137.530441, 1000.000000
 137.849794,  900.000000
 138.167440,  800.000000
 138.216117,  700.000000
 138.528323,  600.000000
 138.838759,  500.000000
 139.147406,  400.000000
 139.179072,  300.000000
 139.482083,  200.000000
 139.783240,  100.000000
 140.082521,    0.000000
