Speed (TAS), Climb Angle
  76.729065,    0.675239
  77.265483,    0.671748
  77.801901,    0.669606
  78.338320,    0.666416
  78.874738,    0.662138
  79.411156,    0.657385
  79.947574,    0.651088
  80.483993,    0.644558
  81.020411,    0.636572
  81.556829,    0.628264
  82.093247,    0.618713
  82.629666,    0.612350
  83.166084,    0.605588
  83.702502,    0.598477
  84.238920,    0.590150
  84.775339,    0.581673
  85.311757,    0.571783
  85.848175,    0.561937
  86.384593,    0.550641
  86.921012,    0.539226
  87.457430,    0.526883
  87.993848,    0.513906
  88.530266,    0.500677
  89.066684,    0.486147
  89.603103,    0.471630
  90.139521,    0.456125
  90.675939,    0.440056
  91.212357,    0.423989
  91.748776,    0.406416
  92.285194,    0.388800
  92.821612,    0.370905
  93.358030,    0.351754
  93.894449,    0.332588
  94.430867,    0.313055
  94.967285,    0.292361
  95.503703,    0.271644
  96.040122,    0.250710
  96.576540,    0.228476
  97.112958,    0.206209
  97.649376,    0.183910
  98.185795,    0.160950
  98.722213,    0.139895
  99.258631,    0.118800
  99.795049,    0.097130
 100.331468,    0.074538
 100.867886,    0.051898
 101.404304,    0.029209
 101.940722,    0.005514
 102.477141,   -0.018661
 103.013559,   -0.042892
 103.549977,   -0.067179
 104.086395,   -0.092566
 104.622813,   -0.118326
 105.159232,   -0.144149
 105.695650,   -0.170035
 106.232068,   -0.196762
 106.768486,   -0.224104
 107.304905,   -0.251516
 107.841323,   -0.278998
 108.377741,   -0.306696
 108.914159,   -0.335614
 109.450578,   -0.364609
 109.986996,   -0.393680
 110.523414,   -0.422829
 111.059832,   -0.452445
 111.596251,   -0.483013
 112.132669,   -0.513664
 112.669087,   -0.544398
 113.205505,   -0.575215
 113.741924,   -0.606283
 114.278342,   -0.637047
 114.814760,   -0.666965
 115.351178,   -0.696973
 115.887597,   -0.727069
 116.424015,   -0.757254
 116.960433,   -0.788180
 117.496851,   -0.819747
 118.033270,   -0.851408
 118.569688,   -0.883164
 119.106106,   -0.915014
 119.642524,   -0.946959
 120.178942,   -0.979549
 120.715361,   -1.012853
 121.251779,   -1.046257
 121.788197,   -1.079762
 122.324615,   -1.113366
 122.861034,   -1.147071
 123.397452,   -1.180876
 123.933870,   -1.215739
 124.470288,   -1.250881
 125.006707,   -1.286128
 125.543125,   -1.321481
 126.079543,   -1.356939
 126.615961,   -1.392502
 127.152380,   -1.428171
 127.688798,   -1.464579
 128.225216,   -1.501558
 128.761634,   -1.538648
 129.298053,   -1.575847
 129.834471,   -1.613157
