V (EAS), 
 118.731767,    0.000000
 118.731767,    1.000000
 126.398394,    1.133311
 134.065021,    1.274961
 141.731648,    1.424950
 149.398274,    1.583278
 157.064901,    1.749945
 164.731528,    1.924950
 172.398154,    2.108295
 180.064781,    2.299978
 187.731408,    2.500000
 285.960232,    2.645246
 357.450290,    2.500000
 357.450290,    0.000000
 285.960232,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,   -1.000000
 148.253859,    0.000000
