Xcg/c, Mass
  14.593935, 43727.782193
  15.948528, 43927.782193
  17.207132, 44127.782193
  18.371045, 44327.782193
  19.441543, 44527.782193
  20.419880, 44727.782193
  21.307287, 44927.782193
  22.104972, 45127.782193
  22.814123, 45327.782193
  23.435906, 45527.782193
  23.971469, 45727.782193
  24.421938, 45927.782193
  24.788418, 46127.782193
  25.071999, 46327.782193
  25.273749, 46527.782193
  25.394719, 46727.782193
  25.435942, 46927.782193
  25.398433, 47127.782193
  25.283190, 47327.782193
  25.091194, 47527.782193
  24.823411, 47727.782193
  24.480788, 47927.782193
  24.064260, 48127.782193
  23.574744, 48327.782193
  23.013141, 48527.782193
  22.380341, 48727.782193
  21.677215, 48927.782193
  20.904623, 49127.782193
  20.063410, 49327.782193
  19.154406, 49527.782193
  18.178431, 49727.782193
  19.355879, 49927.782193
  20.450240, 50127.782193
  21.462505, 50327.782193
  22.393649, 50527.782193
  23.244631, 50727.782193
  24.016396, 50927.782193
  24.709872, 51127.782193
  25.325977, 51327.782193
  25.865609, 51527.782193
  26.329657, 51727.782193
  26.718993, 51927.782193
  27.034478, 52127.782193
  27.276959, 52327.782193
  27.447268, 52527.782193
  27.546229, 52727.782193
  27.574648, 52927.782193
  27.533324, 53127.782193
  27.423040, 53327.782193
  27.244570, 53527.782193
  26.998676, 53727.782193
  26.686106, 53927.782193
  26.307601, 54127.782193
  25.863889, 54327.782193
  25.355686, 54527.782193
  24.783701, 54727.782193
  24.148630, 54927.782193
  23.451159, 55127.782193
  22.691966, 55327.782193
  21.871716, 55527.782193
  20.991068, 55727.782193
  22.032140, 55927.782193
  22.999979, 56127.782193
  23.895365, 56327.782193
  24.719067, 56527.782193
  25.471844, 56727.782193
  26.154442, 56927.782193
  26.767600, 57127.782193
  27.312043, 57327.782193
  27.788488, 57527.782193
  28.197643, 57727.782193
  28.540203, 57927.782193
  28.816858, 58127.782193
  29.028283, 58327.782193
  29.175149, 58527.782193
  29.258114, 58727.782193
  29.277830, 58927.782193
  29.234938, 59127.782193
  29.130072, 59327.782193
  28.963855, 59527.782193
  28.736905, 59727.782193
  28.449829, 59927.782193
  28.103227, 60127.782193
  27.697692, 60327.782193
  27.233808, 60527.782193
  26.712150, 60727.782193
  26.133289, 60927.782193
  25.497785, 61127.782193
  24.806192, 61327.782193
  24.059059, 61527.782193
  23.256923, 61727.782193
