Cl, Efficiency
   1.298138,   20.507241
   1.388542,   22.603310
   1.479100,   24.651186
   1.569811,   26.608622
   1.660673,   28.410964
   1.751811,   30.024688
   1.842961,   31.392060
   1.934260,   32.489793
   2.025708,   33.298042
   2.117302,   33.807050
   2.209043,   34.033151
   2.300929,   33.985372
   2.392960,   33.692958
   2.485134,   33.187672
   2.577453,   32.507784
   2.669915,   31.692034
   2.762520,   30.762809
   2.855267,   29.740896
   2.948153,   28.641324
   3.041175,   27.472089
   3.134332,   26.251749
   3.227623,   25.018021
   3.321055,   23.916324
   3.411896,   22.929154
   3.492727,   22.044816
   3.557761,   21.263629
   3.603683,   20.585828
   3.629661,   20.012540
   3.637358,   19.544842
   3.630938,   19.187955
