alpha_b, CM
  -4.000000,   -0.104575
  -3.517241,   -0.094527
  -3.034483,   -0.084480
  -2.551724,   -0.074433
  -2.068966,   -0.064386
  -1.586207,   -0.054339
  -1.103448,   -0.044292
  -0.620690,   -0.034245
  -0.137931,   -0.024197
   0.344828,   -0.014150
   0.827586,   -0.004103
   1.310345,    0.005944
   1.793103,    0.015991
   2.275862,    0.026038
   2.758621,    0.036085
   3.241379,    0.046133
   3.724138,    0.056180
   4.206897,    0.066227
   4.689655,    0.076274
   5.172414,    0.086321
   5.655172,    0.096368
   6.137931,    0.106416
   6.620690,    0.116463
   7.103448,    0.126510
   7.586207,    0.136557
   8.068966,    0.146604
   8.551724,    0.156651
   9.034483,    0.166698
   9.517241,    0.176746
  10.000000,    0.186793
