eta, Cl
   0.000000,    1.470514
   0.005025,    1.473300
   0.010050,    1.478835
   0.015075,    1.484351
   0.020101,    1.489843
   0.025126,    1.495306
   0.030151,    1.500738
   0.035176,    1.506137
   0.040201,    1.511502
   0.045226,    1.516830
   0.050251,    1.522121
   0.055276,    1.527374
   0.060302,    1.532588
   0.065327,    1.537763
   0.070352,    1.542898
   0.075377,    1.547994
   0.080402,    1.553049
   0.085427,    1.558064
   0.090452,    1.563039
   0.095477,    1.567973
   0.100503,    1.572868
   0.105528,    1.577723
   0.110553,    1.582538
   0.115578,    1.587313
   0.120603,    1.592050
   0.125628,    1.596747
   0.130653,    1.601406
   0.135678,    1.606027
   0.140704,    1.610610
   0.145729,    1.615156
   0.150754,    1.619665
   0.155779,    1.624137
   0.160804,    1.628574
   0.165829,    1.632974
   0.170854,    1.637340
   0.175879,    1.641671
   0.180905,    1.645967
   0.185930,    1.650230
   0.190955,    1.654460
   0.195980,    1.658657
   0.201005,    1.662822
   0.206030,    1.666955
   0.211055,    1.671057
   0.216080,    1.675128
   0.221106,    1.679169
   0.226131,    1.683182
   0.231156,    1.687165
   0.236181,    1.691120
   0.241206,    1.695048
   0.246231,    1.698949
   0.251256,    1.702824
   0.256281,    1.706674
   0.261307,    1.710501
   0.266332,    1.714304
   0.271357,    1.718085
   0.276382,    1.721846
   0.281407,    1.725589
   0.286432,    1.729315
   0.291457,    1.733026
   0.296482,    1.736635
   0.301508,    1.739632
   0.306533,    1.741591
   0.311558,    1.743308
   0.316583,    1.744991
   0.321608,    1.746641
   0.326633,    1.748255
   0.331658,    1.749834
   0.336683,    1.751378
   0.341709,    1.752885
   0.346734,    1.754356
   0.351759,    1.755790
   0.356784,    1.757187
   0.361809,    1.758548
   0.366834,    1.759872
   0.371859,    1.761158
   0.376884,    1.762408
   0.381910,    1.763620
   0.386935,    1.764795
   0.391960,    1.765933
   0.396985,    1.767033
   0.402010,    1.768096
   0.407035,    1.769122
   0.412060,    1.770110
   0.417085,    1.771061
   0.422111,    1.771974
   0.427136,    1.772849
   0.432161,    1.773686
   0.437186,    1.774485
   0.442211,    1.775246
   0.447236,    1.775969
   0.452261,    1.776653
   0.457286,    1.777298
   0.462312,    1.777905
   0.467337,    1.778472
   0.472362,    1.779000
   0.477387,    1.779488
   0.482412,    1.779936
   0.487437,    1.780343
   0.492462,    1.780710
   0.497487,    1.781035
   0.502513,    1.781319
   0.507538,    1.781561
   0.512563,    1.781760
   0.517588,    1.781916
   0.522613,    1.782028
   0.527638,    1.782096
   0.532663,    1.782119
   0.537688,    1.782097
   0.542714,    1.782028
   0.547739,    1.781913
   0.552764,    1.781750
   0.557789,    1.781538
   0.562814,    1.781276
   0.567839,    1.780964
   0.572864,    1.780600
   0.577889,    1.780184
   0.582915,    1.779714
   0.587940,    1.779189
   0.592965,    1.778608
   0.597990,    1.777970
   0.603015,    1.777272
   0.608040,    1.776514
   0.613065,    1.775695
   0.618090,    1.774811
   0.623116,    1.773862
   0.628141,    1.772846
   0.633166,    1.771760
   0.638191,    1.770604
   0.643216,    1.769373
   0.648241,    1.768067
   0.653266,    1.766683
   0.658291,    1.765217
   0.663317,    1.763669
   0.668342,    1.762033
   0.673367,    1.760308
   0.678392,    1.758490
   0.683417,    1.756576
   0.688442,    1.754562
   0.693467,    1.752443
   0.698492,    1.750217
   0.703518,    1.747879
   0.708543,    1.745423
   0.713568,    1.742846
   0.718593,    1.740141
   0.723618,    1.737304
   0.728643,    1.734328
   0.733668,    1.731207
   0.738693,    1.727934
   0.743719,    1.724502
   0.748744,    1.720904
   0.753769,    1.717130
   0.758794,    1.713173
   0.763819,    1.709023
   0.768844,    1.704670
   0.773869,    1.700104
   0.778894,    1.695311
   0.783920,    1.690281
   0.788945,    1.685000
   0.793970,    1.679453
   0.798995,    1.673626
   0.804020,    1.667501
   0.809045,    1.661060
   0.814070,    1.654284
   0.819095,    1.647152
   0.824121,    1.639641
   0.829146,    1.631726
   0.834171,    1.623380
   0.839196,    1.614574
   0.844221,    1.605275
   0.849246,    1.595449
   0.854271,    1.585058
   0.859296,    1.574058
   0.864322,    1.562404
   0.869347,    1.550045
   0.874372,    1.536924
   0.879397,    1.522979
   0.884422,    1.508140
   0.889447,    1.492329
   0.894472,    1.475461
   0.899497,    1.457437
   0.904523,    1.438148
   0.909548,    1.417470
   0.914573,    1.395262
   0.919598,    1.371361
   0.924623,    1.345583
   0.929648,    1.317709
   0.934673,    1.287489
   0.939698,    1.254622
   0.944724,    1.218752
   0.949749,    1.179447
   0.954774,    1.136173
   0.959799,    1.088261
   0.964824,    1.034846
   0.969849,    0.974773
   0.974874,    0.906435
   0.979899,    0.827448
   0.984925,    0.733967
   0.989950,    0.618858
   0.994975,    0.465049
   1.000000,    0.000000
