eta, Cl_add.
   0.000000,    0.061168
   0.020408,    0.061640
   0.040816,    0.062536
   0.061224,    0.063386
   0.081633,    0.064198
   0.102041,    0.064980
   0.122449,    0.065736
   0.142857,    0.066470
   0.163265,    0.067187
   0.183673,    0.067890
   0.204082,    0.068581
   0.224490,    0.069266
   0.244898,    0.069948
   0.265306,    0.070633
   0.285714,    0.071304
   0.306122,    0.071842
   0.326531,    0.072128
   0.346939,    0.072361
   0.367347,    0.072587
   0.387755,    0.072802
   0.408163,    0.073005
   0.428571,    0.073192
   0.448980,    0.073363
   0.469388,    0.073515
   0.489796,    0.073648
   0.510204,    0.073759
   0.530612,    0.073846
   0.551020,    0.073906
   0.571429,    0.073938
   0.591837,    0.073936
   0.612245,    0.073897
   0.632653,    0.073816
   0.653061,    0.073686
   0.673469,    0.073501
   0.693878,    0.073251
   0.714286,    0.072924
   0.734694,    0.072505
   0.755102,    0.071978
   0.775510,    0.071318
   0.795918,    0.070494
   0.816327,    0.069467
   0.836735,    0.068183
   0.857143,    0.066568
   0.877551,    0.064516
   0.897959,    0.061873
   0.918367,    0.058402
   0.938776,    0.053713
   0.959184,    0.047082
   0.979592,    0.036834
   1.000000,    0.000000
