eta, Cl_add.
   0.000000,    0.260445
   0.020408,    0.262453
   0.040816,    0.266271
   0.061224,    0.269888
   0.081633,    0.273347
   0.102041,    0.276675
   0.122449,    0.279893
   0.142857,    0.283021
   0.163265,    0.286073
   0.183673,    0.289065
   0.204082,    0.292010
   0.224490,    0.294926
   0.244898,    0.297829
   0.265306,    0.300744
   0.285714,    0.303601
   0.306122,    0.305893
   0.326531,    0.307113
   0.346939,    0.308105
   0.367347,    0.309067
   0.387755,    0.309982
   0.408163,    0.310843
   0.428571,    0.311640
   0.448980,    0.312368
   0.469388,    0.313018
   0.489796,    0.313584
   0.510204,    0.314056
   0.530612,    0.314426
   0.551020,    0.314683
   0.571429,    0.314816
   0.591837,    0.314808
   0.612245,    0.314642
   0.632653,    0.314297
   0.653061,    0.313746
   0.673469,    0.312957
   0.693878,    0.311891
   0.714286,    0.310498
   0.734694,    0.308718
   0.755102,    0.306472
   0.775510,    0.303660
   0.795918,    0.300154
   0.816327,    0.295783
   0.836735,    0.290315
   0.857143,    0.283437
   0.877551,    0.274699
   0.897959,    0.263446
   0.918367,    0.248669
   0.938776,    0.228703
   0.959184,    0.200468
   0.979592,    0.156836
   1.000000,    0.000000
