eta, Cl_add.
   0.000000,    1.057551
   0.020408,    1.065704
   0.040816,    1.081209
   0.061224,    1.095898
   0.081633,    1.109941
   0.102041,    1.123454
   0.122449,    1.136524
   0.142857,    1.149223
   0.163265,    1.161617
   0.183673,    1.173764
   0.204082,    1.185725
   0.224490,    1.197564
   0.244898,    1.209353
   0.265306,    1.221187
   0.285714,    1.232790
   0.306122,    1.242096
   0.326531,    1.247050
   0.346939,    1.251080
   0.367347,    1.254983
   0.387755,    1.258703
   0.408163,    1.262197
   0.428571,    1.265435
   0.448980,    1.268387
   0.469388,    1.271027
   0.489796,    1.273325
   0.510204,    1.275244
   0.530612,    1.276746
   0.551020,    1.277791
   0.571429,    1.278329
   0.591837,    1.278297
   0.612245,    1.277625
   0.632653,    1.276223
   0.653061,    1.273985
   0.673469,    1.270782
   0.693878,    1.266452
   0.714286,    1.260797
   0.734694,    1.253567
   0.755102,    1.244447
   0.775510,    1.233031
   0.795918,    1.218795
   0.816327,    1.201043
   0.836735,    1.178843
   0.857143,    1.150911
   0.877551,    1.115431
   0.897959,    1.069738
   0.918367,    1.009736
   0.938776,    0.928661
   0.959184,    0.814012
   0.979592,    0.636841
   1.000000,    0.000000
