alpha body, Neutral Point
  -4.000000,    0.260505
  -3.172414,    0.243791
  -2.344828,    0.223746
  -1.517241,    0.217090
  -0.689655,    0.208106
   0.137931,    0.201711
   0.965517,    0.197710
   1.793103,    0.191241
   2.620690,    0.184863
   3.448276,    0.178565
   4.275862,    0.176036
   5.103448,    0.181538
   5.931034,    0.185530
   6.758621,    0.183780
   7.586207,    0.183461
   8.413793,    0.197725
   9.241379,    0.272650
  10.068966,    0.601791
  10.896552,    1.712913
  11.724138,    1.876377
  12.551724,    0.862711
  13.379310,    0.425663
  14.206897,    0.278746
  15.034483,    0.211464
  15.862069,    0.188022
