alpha body, Neutral Point
  -4.000000,    0.283798
  -3.172414,    0.264194
  -2.344828,    0.240697
  -1.517241,    0.232870
  -0.689655,    0.222198
   0.137931,    0.214502
   0.965517,    0.209555
   1.793103,    0.201608
   2.620690,    0.193689
   3.448276,    0.185789
   4.275862,    0.182249
   5.103448,    0.188083
   5.931034,    0.192069
   6.758621,    0.189233
   7.586207,    0.188222
   8.413793,    0.206320
   9.241379,    0.301462
  10.068966,    0.710684
  10.896552,    2.045276
  11.724138,    2.216172
  12.551724,    0.980548
  13.379310,    0.452448
  14.206897,    0.275099
  15.034483,    0.193621
