V (EAS), 
  63.671739,    0.000000
  63.671739,    1.000000
  67.783086,    1.133311
  71.894433,    1.274961
  76.005779,    1.424950
  80.117126,    1.583278
  84.228473,    1.749945
  88.339819,    1.924950
  92.451166,    2.108295
  96.562513,    2.299978
 100.673859,    2.500000
 134.318422,    2.500000
 167.898027,    2.500000
 167.898027,    0.000000
 134.318422,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,   -1.000000
  77.981636,    0.000000
