Ground Distance, Emission CO2
   0.000000,    0.105134
   0.016710,  105.139496
   0.183420,  210.328675
   0.368626,  315.523973
   0.553832,  420.719271
   0.739038,  525.914569
   0.924244,  631.109867
   1.109450,  736.305166
   1.294656,  841.500464
   1.479861,  946.695762
   1.665067, 1051.891060
   1.850273, 1157.086358
   2.302722, 1262.356202
   2.788539, 1367.635355
   3.274355, 1472.914507
   3.760172, 1578.193659
   4.245989, 1683.472811
   4.731805, 1788.751963
   5.217622, 1894.031116
   5.703439, 1999.310268
   6.189255, 2104.589420
   6.675072, 2209.868572
   7.425098, 2315.201965
   8.208113, 2420.542129
   8.991129, 2525.882294
   9.774144, 2631.222459
  10.557159, 2736.562624
  11.340174, 2841.902789
  12.123190, 2947.242954
  12.906205, 3052.583119
  13.689220, 3157.923284
  14.472235, 3263.263448
  15.516345, 3368.638206
  16.593054, 3474.017283
  17.669764, 3579.396360
  18.746474, 3684.775437
  19.823183, 3790.154514
  20.899893, 3895.533591
  21.976602, 4000.912668
  23.053312, 4106.291745
  24.130021, 4211.670822
  25.206731, 4317.049899
  26.541343, 4422.444595
  27.908156, 4527.841242
  29.274969, 4633.237889
  30.641782, 4738.634536
  32.008595, 4844.031184
  33.375408, 4949.427831
  34.742222, 5054.824478
  36.109035, 5160.221125
  37.475848, 5265.617772
  38.842661, 5371.014419
  40.464113, 5476.413663
  42.117358, 5581.813231
  43.770603, 5687.212800
  45.423849, 5792.612368
  47.077094, 5898.011936
  48.730340, 6003.411505
  50.383585, 6108.811073
  52.036831, 6214.210642
  53.690076, 6319.610210
  55.343321, 6425.009778
  57.247422, 6530.503918
  59.182843, 6636.009865
  61.118265, 6741.515813
  63.053687, 6847.021760
  64.989109, 6952.527707
  66.924530, 7058.033655
  68.859952, 7163.539602
  70.795374, 7269.045550
  72.730796, 7374.551497
  74.666217, 7480.057444
  76.847931, 7585.648188
  79.060396, 7691.249520
  81.272861, 7796.850851
  83.485326, 7902.452183
  85.697791, 8008.053515
  87.910256, 8113.654846
  90.122721, 8219.256178
  92.335186, 8324.857509
  94.547651, 8430.458841
  96.760117, 8536.060172
  99.214249, 8641.705425
 101.698557, 8747.356162
 104.182864, 8853.006899
 106.667172, 8958.657636
 109.151479, 9064.308372
 111.635787, 9169.959109
 114.120094, 9275.609846
 116.604402, 9381.260583
 119.088709, 9486.911320
 121.573017, 9592.562057
 124.294359, 9698.218073
 127.045296, 9803.874750
 129.796234, 9909.531426
 132.547172, 10015.188102
 135.298110, 10120.844778
 138.049047, 10226.501454
 140.799985, 10332.158130
 143.550923, 10437.814806
 146.301861, 10543.471482
 149.052799, 10649.128158
 152.036133, 10754.753669
 155.048485, 10860.375289
 158.060836, 10965.996908
 161.073187, 11071.618528
 164.085539, 11177.240147
 167.097890, 11282.861767
 170.110242, 11388.483386
 173.122593, 11494.105006
 176.134945, 11599.726625
 179.147296, 11705.348245
 182.387408, 11810.904407
 185.655958, 11916.452397
 188.924509, 12022.000386
 192.193059, 12127.548376
 195.461609, 12233.096365
 198.730159, 12338.644355
 201.998709, 12444.192345
 205.267259, 12549.740334
 208.535809, 12655.288324
 211.804360, 12760.836313
 215.295818, 12866.457532
 218.815110, 12972.087893
 222.334401, 13077.718255
 225.853692, 13183.348616
 229.372983, 13288.978978
 232.892274, 13394.609339
 236.411565, 13500.239701
 239.930856, 13605.870062
 243.450148, 13711.500424
 246.969439, 13817.130785
 250.705861, 13922.958743
 254.469395, 14028.811372
 258.232928, 14134.664001
 261.996462, 14240.516631
 265.759995, 14346.369260
 269.523529, 14452.221889
 273.287062, 14558.074518
 277.050596, 14663.927148
 280.814129, 14769.779777
 284.577663, 14875.632406
 288.552362, 14981.602265
 292.553427, 15087.586760
 296.554492, 15193.571256
 300.555557, 15299.555751
 304.556622, 15405.540247
 308.557687, 15511.524743
 312.558752, 15617.509238
