alpha body, Neutral Point
  -4.000000,    0.196613
  -3.517241,    0.194702
  -3.034483,    0.190990
  -2.551724,    0.187391
  -2.068966,    0.183787
  -1.586207,    0.180241
  -1.103448,    0.176679
  -0.620690,    0.173092
  -0.137931,    0.169426
   0.344828,    0.165750
   0.827586,    0.162157
   1.310345,    0.158560
   1.793103,    0.103471
   2.275862,    0.101194
   2.758621,    0.150434
   3.241379,    0.146860
   3.724138,    0.143309
   4.206897,    0.139728
   4.689655,    0.136103
   5.172414,    0.132471
   5.655172,    0.128893
   6.137931,    0.125349
   6.620690,    0.121807
   7.103448,    0.118252
   7.586207,    0.141103
   8.068966,    0.244314
   8.551724,    0.331326
   9.034483,    0.345786
   9.517241,    0.365775
  10.000000,    0.379755
