alpha body, Neutral Point
  -4.000000,    0.210179
  -3.517241,    0.207844
  -3.034483,    0.203309
  -2.551724,    0.198910
  -2.068966,    0.194502
  -1.586207,    0.190165
  -1.103448,    0.185809
  -0.620690,    0.181423
  -0.137931,    0.176940
   0.344828,    0.172448
   0.827586,    0.168057
   1.310345,    0.163662
   1.793103,    0.096634
   2.275862,    0.093849
   2.758621,    0.153736
   3.241379,    0.149380
   3.724138,    0.145056
   4.206897,    0.140698
   4.689655,    0.136291
   5.172414,    0.131879
   5.655172,    0.127535
   6.137931,    0.123237
   6.620690,    0.118946
   7.103448,    0.114645
   7.586207,    0.142204
   8.068966,    0.266724
   8.551724,    0.371703
   9.034483,    0.389156
   9.517241,    0.413726
  10.000000,    0.431037
