Speed (CAS), Climb Angle
  63.830699,   -0.778104
  64.359305,   -0.751363
  64.887911,   -0.725270
  65.416516,   -0.700404
  65.945122,   -0.677190
  66.473728,   -0.655690
  67.002334,   -0.635151
  67.530940,   -0.615638
  68.059545,   -0.597499
  68.588151,   -0.580038
  69.116757,   -0.564603
  69.645363,   -0.549886
  70.173968,   -0.536215
  70.702574,   -0.523544
  71.231180,   -0.511585
  71.759786,   -0.501296
  72.288392,   -0.491346
  72.816997,   -0.483207
  73.345603,   -0.474894
  73.874209,   -0.468394
  74.402815,   -0.462093
  74.931420,   -0.457360
  75.460026,   -0.453067
  75.988632,   -0.449704
  76.517238,   -0.447183
  77.045844,   -0.445072
  77.574449,   -0.444543
  78.103055,   -0.443924
  78.631661,   -0.444915
  79.160267,   -0.446208
  79.688872,   -0.447932
  80.217478,   -0.451202
  80.746084,   -0.454412
  81.274690,   -0.458677
  81.803296,   -0.463923
  82.331901,   -0.469123
  82.860507,   -0.475653
  83.389113,   -0.482814
  83.917719,   -0.489942
  84.446324,   -0.498442
  84.974930,   -0.507683
  85.503536,   -0.516904
  86.032142,   -0.526934
  86.560748,   -0.538084
  87.089353,   -0.549282
  87.617959,   -0.560572
  88.146565,   -0.573765
  88.675171,   -0.586974
  89.203777,   -0.600188
  89.732382,   -0.614029
  90.260988,   -0.629264
  90.789594,   -0.644514
  91.318200,   -0.659780
  91.846805,   -0.675812
  92.375411,   -0.692949
  92.904017,   -0.710182
  93.432623,   -0.727476
  93.961229,   -0.745143
  94.489834,   -0.764283
  95.018440,   -0.783460
  95.547046,   -0.802698
  96.075652,   -0.822026
  96.604257,   -0.842520
  97.132863,   -0.863673
  97.661469,   -0.884873
  98.190075,   -0.906119
  98.718681,   -0.927463
  99.247286,   -0.950083
  99.775892,   -0.973226
 100.304498,   -0.996425
 100.833104,   -1.019680
 101.361709,   -1.043007
 101.890315,   -1.067006
 102.418921,   -1.092108
 102.947527,   -1.117275
 103.476133,   -1.142506
 104.004738,   -1.167802
 104.533344,   -1.193163
 105.061950,   -1.219408
 105.590556,   -1.246503
 106.119161,   -1.273671
 106.647767,   -1.300911
 107.176373,   -1.328201
 107.704979,   -1.355563
 108.233585,   -1.383112
 108.762190,   -1.412169
 109.290796,   -1.441306
 109.819402,   -1.470495
 110.348008,   -1.499743
 110.876614,   -1.529071
 111.405219,   -1.558480
 111.933825,   -1.587969
 112.462431,   -1.618945
 112.991037,   -1.650023
 113.519642,   -1.681188
 114.048248,   -1.712441
 114.576854,   -1.743783
 115.105460,   -1.775212
 115.634066,   -1.806638
 116.162671,   -1.838158
