alpha, CL
  -5.838204,   -1.279157
  -5.548031,   -1.257578
  -5.259297,   -1.236106
  -4.971692,   -1.214719
  -4.685300,   -1.193421
  -4.399975,   -1.172203
  -4.115698,   -1.151063
  -3.832452,   -1.130000
  -3.550225,   -1.109012
  -3.269129,   -1.088108
  -2.989007,   -1.067277
  -2.709844,   -1.046517
  -2.431622,   -1.025827
  -2.154324,   -1.005206
  -1.878045,   -0.984661
  -1.602665,   -0.964182
  -1.328153,   -0.943768
  -1.054494,   -0.923418
  -0.781670,   -0.903129
  -0.509750,   -0.882908
  -0.238656,   -0.862748
   0.031657,   -0.842646
   0.301205,   -0.822601
   0.570004,   -0.802612
   0.838013,   -0.782682
   1.150246,   -0.759463
   1.598628,   -0.726119
   2.063942,   -0.691516
   2.541983,   -0.655967
   3.041862,   -0.618793
