alpha, CL
  -5.838204,   -0.434156
  -5.548031,   -0.412577
  -5.259297,   -0.391106
  -4.971692,   -0.369718
  -4.685300,   -0.348421
  -4.399975,   -0.327203
  -4.115698,   -0.306063
  -3.832452,   -0.284999
  -3.550225,   -0.264011
  -3.269129,   -0.243108
  -2.989007,   -0.222277
  -2.709844,   -0.201517
  -2.431622,   -0.180827
  -2.154324,   -0.160206
  -1.878045,   -0.139660
  -1.602665,   -0.119182
  -1.328153,   -0.098768
  -1.054494,   -0.078417
  -0.781670,   -0.058129
  -0.509750,   -0.037907
  -0.238656,   -0.017748
   0.031657,    0.002354
   0.301205,    0.022399
   0.570004,    0.042388
   0.838013,    0.062319
   1.150246,    0.085538
   1.598628,    0.118881
   2.063942,    0.153484
   2.541983,    0.189034
   3.041862,    0.226207
