alpha, CL
  -5.838204,   -1.138323
  -5.548031,   -1.116745
  -5.259297,   -1.095273
  -4.971692,   -1.073885
  -4.685300,   -1.052588
  -4.399975,   -1.031370
  -4.115698,   -1.010230
  -3.832452,   -0.989166
  -3.550225,   -0.968178
  -3.269129,   -0.947275
  -2.989007,   -0.926444
  -2.709844,   -0.905684
  -2.431622,   -0.884994
  -2.154324,   -0.864373
  -1.878045,   -0.843827
  -1.602665,   -0.823349
  -1.328153,   -0.802935
  -1.054494,   -0.782584
  -0.781670,   -0.762296
  -0.509750,   -0.742074
  -0.238656,   -0.721915
   0.031657,   -0.701813
   0.301205,   -0.681768
   0.570004,   -0.661779
   0.838013,   -0.641848
   1.150246,   -0.618629
   1.598628,   -0.585286
   2.063942,   -0.550683
   2.541983,   -0.515133
   3.041862,   -0.477960
