alpha, CL
  -5.838204,   -0.665908
  -5.548031,   -0.644330
  -5.259297,   -0.622858
  -4.971692,   -0.601470
  -4.685300,   -0.580173
  -4.399975,   -0.558955
  -4.115698,   -0.537815
  -3.832452,   -0.516751
  -3.550225,   -0.495763
  -3.269129,   -0.474860
  -2.989007,   -0.454029
  -2.709844,   -0.433269
  -2.431622,   -0.412579
  -2.154324,   -0.391958
  -1.878045,   -0.371412
  -1.602665,   -0.350934
  -1.328153,   -0.330520
  -1.054494,   -0.310169
  -0.781670,   -0.289881
  -0.509750,   -0.269660
  -0.238656,   -0.249500
   0.031657,   -0.229398
   0.301205,   -0.209353
   0.570004,   -0.189364
   0.838013,   -0.169434
   1.150246,   -0.146214
   1.598628,   -0.112871
   2.063942,   -0.078268
   2.541983,   -0.042718
   3.041862,   -0.005545
