alpha, CL
  -5.838204,   -1.073027
  -5.548031,   -1.051449
  -5.259297,   -1.029977
  -4.971692,   -1.008590
  -4.685300,   -0.987292
  -4.399975,   -0.966074
  -4.115698,   -0.944934
  -3.832452,   -0.923870
  -3.550225,   -0.902883
  -3.269129,   -0.881979
  -2.989007,   -0.861148
  -2.709844,   -0.840388
  -2.431622,   -0.819698
  -2.154324,   -0.799077
  -1.878045,   -0.778532
  -1.602665,   -0.758053
  -1.328153,   -0.737639
  -1.054494,   -0.717288
  -0.781670,   -0.697000
  -0.509750,   -0.676779
  -0.238656,   -0.656619
   0.031657,   -0.636517
   0.301205,   -0.616472
   0.570004,   -0.596483
   0.838013,   -0.576553
   1.150246,   -0.553334
   1.598628,   -0.519990
   2.063942,   -0.485387
   2.541983,   -0.449838
   3.041862,   -0.412664
