alpha, CL
  -5.838204,   -1.099289
  -5.548031,   -1.077710
  -5.259297,   -1.056238
  -4.971692,   -1.034851
  -4.685300,   -1.013553
  -4.399975,   -0.992335
  -4.115698,   -0.971195
  -3.832452,   -0.950131
  -3.550225,   -0.929144
  -3.269129,   -0.908240
  -2.989007,   -0.887409
  -2.709844,   -0.866649
  -2.431622,   -0.845959
  -2.154324,   -0.825338
  -1.878045,   -0.804793
  -1.602665,   -0.784314
  -1.328153,   -0.763900
  -1.054494,   -0.743549
  -0.781670,   -0.723261
  -0.509750,   -0.703040
  -0.238656,   -0.682880
   0.031657,   -0.662778
   0.301205,   -0.642733
   0.570004,   -0.622744
   0.838013,   -0.602814
   1.150246,   -0.579595
   1.598628,   -0.546251
   2.063942,   -0.511648
   2.541983,   -0.476099
   3.041862,   -0.438925
