alpha, CL
  -5.838204,   -0.890331
  -5.548031,   -0.868752
  -5.259297,   -0.847280
  -4.971692,   -0.825893
  -4.685300,   -0.804595
  -4.399975,   -0.783377
  -4.115698,   -0.762237
  -3.832452,   -0.741173
  -3.550225,   -0.720186
  -3.269129,   -0.699282
  -2.989007,   -0.678451
  -2.709844,   -0.657691
  -2.431622,   -0.637001
  -2.154324,   -0.616380
  -1.878045,   -0.595835
  -1.602665,   -0.575356
  -1.328153,   -0.554942
  -1.054494,   -0.534591
  -0.781670,   -0.514303
  -0.509750,   -0.494082
  -0.238656,   -0.473922
   0.031657,   -0.453820
   0.301205,   -0.433775
   0.570004,   -0.413786
   0.838013,   -0.393856
   1.150246,   -0.370637
   1.598628,   -0.337293
   2.063942,   -0.302690
   2.541983,   -0.267141
   3.041862,   -0.229967
