alpha, CL
  -5.838204,   -0.202404
  -5.548031,   -0.180825
  -5.259297,   -0.159354
  -4.971692,   -0.137966
  -4.685300,   -0.116669
  -4.399975,   -0.095451
  -4.115698,   -0.074310
  -3.832452,   -0.053247
  -3.550225,   -0.032259
  -3.269129,   -0.011356
  -2.989007,    0.009476
  -2.709844,    0.030235
  -2.431622,    0.050925
  -2.154324,    0.071547
  -1.878045,    0.092092
  -1.602665,    0.112570
  -1.328153,    0.132984
  -1.054494,    0.153335
  -0.781670,    0.173623
  -0.509750,    0.193845
  -0.238656,    0.214005
   0.031657,    0.234106
   0.301205,    0.254151
   0.570004,    0.274140
   0.838013,    0.294071
   1.150246,    0.317290
   1.598628,    0.350634
   2.063942,    0.385236
   2.541983,    0.420786
   3.041862,    0.457959
