alpha body, Neutral Point
 -10.000000,    0.208973
  -9.090909,    0.217725
  -8.181818,    0.234593
  -7.272727,    0.251048
  -6.363636,    0.267845
  -5.454545,    0.284414
  -4.545455,    0.299969
  -3.636364,    0.312040
  -2.727273,    0.317992
  -1.818182,    0.333705
  -0.909091,    0.351596
  -0.000000,    0.358705
   0.909091,    0.365922
   1.818182,    0.372768
   2.727273,    0.378771
   3.636364,    0.384481
   4.545455,    0.390097
   5.454545,    0.395073
   6.363636,    0.399403
   7.272727,    0.403556
   8.181818,    0.407495
   9.090909,    0.410758
  10.000000,    0.413766
  10.909091,    0.424424
  11.818182,    0.477020
  12.727273,    0.632093
  13.636364,    1.106394
  14.545455,    3.744437
  15.454545,    7.095907
