alpha body, Neutral Point
 -10.000000,    0.201542
  -9.000000,    0.211069
  -8.000000,    0.230018
  -7.000000,    0.248725
  -6.000000,    0.266823
  -5.000000,    0.284240
  -4.000000,    0.298286
  -3.000000,    0.308843
  -2.000000,    0.326882
  -1.000000,    0.344530
   0.000000,    0.353348
   1.000000,    0.361756
   2.000000,    0.370240
   3.000000,    0.378325
   4.000000,    0.385861
   5.000000,    0.392444
   6.000000,    0.398463
   7.000000,    0.404384
   8.000000,    0.410003
   9.000000,    0.415088
  10.000000,    0.419723
  11.000000,    0.438810
  12.000000,    0.517772
  13.000000,    0.856661
  14.000000,    3.214207
  15.000000,    6.060635
  16.000000,    4.079234
  17.000000,    0.955529
  18.000000,    0.578823
