alpha body, Neutral Point
 -10.000000,    0.194846
  -9.090909,    0.204292
  -8.181818,    0.222464
  -7.272727,    0.240187
  -6.363636,    0.258341
  -5.454545,    0.276277
  -4.545455,    0.293083
  -3.636364,    0.306436
  -2.727273,    0.313868
  -1.818182,    0.330907
  -0.909091,    0.349968
  -0.000000,    0.358401
   0.909091,    0.367029
   1.818182,    0.375251
   2.727273,    0.382537
   3.636364,    0.389557
   4.545455,    0.396554
   5.454545,    0.402849
   6.363636,    0.408425
   7.272727,    0.413870
   8.181818,    0.419144
   9.090909,    0.423665
  10.000000,    0.427875
  10.909091,    0.439806
  11.818182,    0.493617
  12.727273,    0.649409
  13.636364,    1.122869
  14.545455,    3.743830
  15.454545,    6.990658
