alpha body, Neutral Point
 -10.000000,    0.211560
  -9.000000,    0.220649
  -8.000000,    0.238756
  -7.000000,    0.256680
  -6.000000,    0.274073
  -5.000000,    0.290854
  -4.000000,    0.304433
  -3.000000,    0.314702
  -2.000000,    0.332115
  -1.000000,    0.349157
   0.000000,    0.357788
   1.000000,    0.366028
   2.000000,    0.374343
   3.000000,    0.382277
   4.000000,    0.389682
   5.000000,    0.396160
   6.000000,    0.402084
   7.000000,    0.407909
   8.000000,    0.413436
   9.000000,    0.418437
  10.000000,    0.422966
  11.000000,    0.440851
  12.000000,    0.514020
  13.000000,    0.827944
  14.000000,    2.979828
  15.000000,    5.591844
  16.000000,    3.798043
  17.000000,    0.934999
  18.000000,    0.582296
