alpha body, Neutral Point
 -10.000000,    0.197598
  -9.090909,    0.206371
  -8.181818,    0.223319
  -7.272727,    0.239919
  -6.363636,    0.256922
  -5.454545,    0.273765
  -4.545455,    0.289633
  -3.636364,    0.302323
  -2.727273,    0.309531
  -1.818182,    0.325670
  -0.909091,    0.343690
  -0.000000,    0.351857
   0.909091,    0.360212
   1.818182,    0.368200
   2.727273,    0.375307
   3.636364,    0.382163
   4.545455,    0.389004
   5.454545,    0.395172
   6.363636,    0.400641
   7.272727,    0.405984
   8.181818,    0.411167
   9.090909,    0.415604
  10.000000,    0.419698
  10.909091,    0.430595
  11.818182,    0.478805
  12.727273,    0.617339
  13.636364,    1.035167
  14.545455,    3.322568
  15.454545,    6.179211
  16.363636,    4.487487
  17.272727,    1.410028
  18.181818,    0.740152
  19.090909,    0.507380
  20.000000,    0.446687
