alpha body, Neutral Point
 -10.000000,    0.211669
  -9.000000,    0.220755
  -8.000000,    0.238855
  -7.000000,    0.256773
  -6.000000,    0.274160
  -5.000000,    0.290936
  -4.000000,    0.304511
  -3.000000,    0.314777
  -2.000000,    0.332185
  -1.000000,    0.349223
   0.000000,    0.357851
   1.000000,    0.366091
   2.000000,    0.374403
   3.000000,    0.382336
   4.000000,    0.389740
   5.000000,    0.396217
   6.000000,    0.402140
   7.000000,    0.407965
   8.000000,    0.413491
   9.000000,    0.418491
  10.000000,    0.423019
  11.000000,    0.440894
  12.000000,    0.514016
  13.000000,    0.827740
  14.000000,    2.977987
  15.000000,    5.588143
  16.000000,    3.795830
  17.000000,    0.934857
  18.000000,    0.582348
