eta, basic load
   0.000000, 171485.088805
   0.020408, 159994.578442
   0.040816, 151630.882675
   0.061224, 142954.050696
   0.081633, 133987.312179
   0.102041, 124767.416698
   0.122449, 115337.424334
   0.142857, 105743.642211
   0.163265, 96034.058892
   0.183673, 86257.485177
   0.204082, 76463.075559
   0.224490, 66700.066001
   0.244898, 57017.624871
   0.265306, 47464.727083
   0.285714, 38089.940382
   0.306122, 28940.979437
   0.326531, 20040.970036
   0.346939, 10997.593775
   0.367347, -474.349580
   0.387755, -11594.549099
   0.408163, -22259.527372
   0.428571, -32472.403705
   0.448980, -42231.232721
   0.469388, -51531.816335
   0.489796, -60368.940372
   0.510204, -68736.843707
   0.530612, -76629.722601
   0.551020, -84042.044205
   0.571429, -90968.259925
   0.591837, -97402.878023
   0.612245, -103340.354396
   0.632653, -108774.911437
   0.653061, -113700.271017
   0.673469, -118109.275068
   0.693878, -121993.350470
   0.714286, -125341.749992
   0.734694, -128140.462209
   0.755102, -130370.620552
   0.775510, -132006.137301
   0.795918, -133010.109717
   0.816327, -133329.230261
   0.836735, -132884.856336
   0.857143, -131558.296169
   0.877551, -129165.664569
   0.897959, -125412.954666
   0.918367, -119811.018668
   0.938776, -111501.348895
   0.959184, -98850.135447
   0.979592, -78177.611100
   1.000000,    0.000000
