eta, basic load
   0.000000, 50367.932361
   0.020408, 46775.867581
   0.040816, 44611.592737
   0.061224, 42235.082504
   0.081633, 39658.272637
   0.102041, 36899.458586
   0.122449, 33979.902694
   0.142857, 30922.399278
   0.163265, 27750.548167
   0.183673, 24488.363976
   0.204082, 21160.068676
   0.224490, 17789.991779
   0.244898, 14402.532371
   0.265306, 11022.145141
   0.285714, 7673.305479
   0.306122, 4380.396932
   0.326531, 1156.658261
   0.346939, -2248.901748
   0.367347, -7375.070158
   0.387755, -12298.742937
   0.408163, -16961.554068
   0.428571, -21359.282668
   0.448980, -25487.379232
   0.469388, -29341.680916
   0.489796, -32918.679124
   0.510204, -36215.451816
   0.530612, -39229.948472
   0.551020, -41961.101213
   0.571429, -44408.422509
   0.591837, -46572.093472
   0.612245, -48452.896895
   0.632653, -50052.134960
   0.653061, -51371.526979
   0.673469, -52413.079116
   0.693878, -53178.913350
   0.714286, -53671.035887
   0.734694, -53891.014210
   0.755102, -53839.513994
   0.775510, -53515.617189
   0.795918, -52915.791168
   0.816327, -52032.287864
   0.836735, -50850.584958
   0.857143, -49345.162260
   0.877551, -47472.264962
   0.897959, -45156.929618
   0.918367, -42268.334144
   0.938776, -38569.037676
   0.959184, -33595.944076
   0.979592, -26283.930760
   1.000000,    0.000000
