eta, basic load
   0.000000, 20088.643250
   0.020408, 18471.189865
   0.040816, 17856.770253
   0.061224, 17055.340456
   0.081633, 16076.012751
   0.102041, 14932.469058
   0.122449, 13640.522283
   0.142857, 12217.088544
   0.163265, 10679.670485
   0.183673, 9046.083676
   0.204082, 7334.316955
   0.224490, 5092.784083
   0.244898, 2548.093150
   0.265306,  223.403295
   0.285714, -1880.963427
   0.306122, -3764.683247
   0.326531, -5427.568243
   0.346939, -7033.317073
   0.367347, -9835.456899
   0.387755, -12544.348327
   0.408163, -15158.034162
   0.428571, -17675.273353
   0.448980, -20094.839782
   0.469388, -22415.525595
   0.489796, -24636.141643
   0.510204, -26755.513962
   0.530612, -28772.487788
   0.551020, -30685.928612
   0.571429, -32494.714655
   0.591837, -33864.397334
   0.612245, -34731.032520
   0.632653, -35371.440841
   0.653061, -35789.340970
   0.673469, -35989.030128
   0.693878, -35975.304070
   0.714286, -35753.357360
   0.734694, -35328.652210
   0.755102, -34706.737355
   0.775510, -33892.987161
   0.795918, -32892.211531
   0.816327, -31708.052265
   0.836735, -30342.017113
   0.857143, -28791.878782
   0.877551, -27048.915061
   0.897959, -25092.923355
   0.918367, -22882.663013
   0.938776, -20335.959871
   0.959184, -17282.396233
   0.979592, -13310.510675
   1.000000,    0.000000
