Vfailure/VsTO, Distance
   0.645896,  436.033305
   0.646446,  436.644450
   0.646997,  437.255594
   0.647548,  437.866738
   0.648098,  438.477882
   0.648649,  439.089026
   0.649199,  439.700170
   0.649750,  440.311314
   0.650300,  440.922458
   0.650851,  441.533603
   0.651401,  442.144747
   0.651952,  442.755891
   0.652503,  443.367035
   0.653053,  443.978179
   0.653604,  444.589323
   0.654154,  445.200467
   0.654705,  445.811611
   0.655255,  446.422755
   0.655806,  447.033900
   0.656356,  447.645044
   0.656907,  448.256188
   0.657457,  448.867332
   0.658008,  449.478476
   0.658559,  450.089620
   0.659109,  450.700764
   0.659660,  451.311908
   0.660210,  451.923053
   0.660761,  452.534197
   0.661311,  453.145341
   0.661862,  453.756485
   0.662412,  454.367629
   0.662963,  454.978773
   0.663514,  455.589917
   0.664064,  456.201061
   0.664615,  456.812205
   0.665165,  457.423350
   0.665716,  458.034494
   0.666266,  458.645638
   0.666817,  459.256782
   0.667367,  459.867926
   0.667918,  460.479070
   0.668468,  461.090214
   0.669019,  461.701358
   0.669570,  462.312503
   0.670120,  462.923647
   0.670671,  463.534791
   0.671221,  464.145935
   0.671772,  464.757079
   0.672322,  465.368223
   0.672873,  465.979367
   0.673423,  466.590511
   0.673974,  467.201655
   0.674525,  467.812800
   0.675075,  468.423944
   0.675626,  469.035088
   0.676176,  469.646232
   0.676727,  470.257376
   0.677277,  470.868520
   0.677828,  471.479664
   0.678378,  472.090808
   0.678929,  472.701953
   0.679479,  473.313097
   0.680030,  473.924241
   0.680581,  474.535385
   0.681131,  475.146529
   0.681682,  475.757673
   0.682232,  476.368817
   0.682783,  476.979961
   0.683333,  477.591106
   0.683884,  478.449105
   0.684434,  479.307104
   0.684985,  480.165104
   0.685536,  481.023103
   0.686086,  481.881102
   0.686637,  482.739102
   0.687187,  483.597101
   0.687738,  484.455100
   0.688288,  485.313100
   0.688839,  486.171099
   0.689389,  487.029098
   0.689940,  487.887098
   0.690490,  488.745097
   0.691041,  489.603096
   0.691592,  490.461096
   0.692142,  491.319095
   0.692693,  492.177094
   0.693243,  493.035094
   0.693794,  493.893093
   0.694344,  494.751093
   0.694895,  495.609092
   0.695445,  496.467091
   0.695996,  497.325091
   0.696547,  498.183090
   0.697097,  499.041089
   0.697648,  499.899089
   0.698198,  500.757088
   0.698749,  501.615087
   0.699299,  502.473087
   0.699850,  503.331086
   0.700400,  504.189085
   0.700951,  505.047085
   0.701502,  505.905084
   0.702052,  506.763083
   0.702603,  507.621083
   0.703153,  508.479082
   0.703704,  509.337081
   0.704254,  510.195081
   0.704805,  511.053080
   0.705355,  511.911080
   0.705906,  512.769079
   0.706456,  513.627078
   0.707007,  514.485078
   0.707558,  515.343077
   0.708108,  516.201076
   0.708659,  517.059076
   0.709209,  517.917075
   0.709760,  518.775074
   0.710310,  519.633074
   0.710861,  520.491073
   0.711411,  521.349072
   0.711962,  522.207072
   0.712513,  523.065071
   0.713063,  523.923070
   0.713614,  524.781070
   0.714164,  525.639069
   0.714715,  526.497068
   0.715265,  527.355068
   0.715816,  528.213067
   0.716366,  529.071067
   0.716917,  529.929066
   0.717467,  530.787065
   0.718018,  531.645065
   0.718569,  532.503064
   0.719119,  533.361063
   0.719670,  534.219063
   0.720220,  535.077062
   0.720771,  535.935061
   0.721321,  536.793061
   0.721872,  537.651060
   0.722422,  538.509059
   0.722973,  539.367059
   0.723524,  540.225058
   0.724074,  541.083057
   0.724625,  541.941057
   0.725175,  542.799056
   0.725726,  543.657055
   0.726276,  544.515055
   0.726827,  545.373054
   0.727377,  546.231054
   0.727928,  547.089053
   0.728478,  547.947052
   0.729029,  548.805052
   0.729580,  549.663051
   0.730130,  550.521050
   0.730681,  551.379050
   0.731231,  552.237049
   0.731782,  553.095048
   0.732332,  553.953048
   0.732883,  554.811047
   0.733433,  555.669046
   0.733984,  556.527046
   0.734535,  557.385045
   0.735085,  558.243044
   0.735636,  559.101044
   0.736186,  559.959043
   0.736737,  560.817042
   0.737287,  561.675042
   0.737838,  562.533041
   0.738388,  563.391041
   0.738939,  564.249040
   0.739489,  565.107039
   0.740040,  565.965039
   0.740591,  566.823038
   0.741141,  567.681037
   0.741692,  568.539037
   0.742242,  569.397036
   0.742793,  570.255035
   0.743343,  571.113035
   0.743894,  571.971034
   0.744444,  572.829033
   0.744995,  573.687033
   0.745546,  574.545032
   0.746096,  575.403031
   0.746647,  576.261031
   0.747197,  577.119030
   0.747748,  577.977029
   0.748298,  578.835029
   0.748849,  579.693028
   0.749399,  580.551028
   0.749950,  581.409027
   0.750501,  582.267026
   0.751051,  583.125026
   0.751602,  583.983025
   0.752152,  584.841024
   0.752703,  585.699024
   0.753253,  586.557023
   0.753804,  587.415022
   0.754354,  588.273022
   0.754905,  589.131021
   0.755455,  589.989020
   0.756006,  590.847020
   0.756557,  591.705019
   0.757107,  592.563018
   0.757658,  593.421018
   0.758208,  594.279017
   0.758759,  595.137016
   0.759309,  595.995016
   0.759860,  596.853015
   0.760410,  597.711015
   0.760961,  598.569014
   0.761512,  599.427013
   0.762062,  600.285013
   0.762613,  601.143012
   0.763163,  602.001011
   0.763714,  602.859011
   0.764264,  603.717010
   0.764815,  604.575009
   0.765365,  605.433009
   0.765916,  606.291008
   0.766466,  607.149007
   0.767017,  608.007007
   0.767568,  608.865006
   0.768118,  609.723005
   0.768669,  610.581005
   0.769219,  611.439004
   0.769770,  612.297003
   0.770320,  613.155003
   0.770871,  614.013002
   0.771421,  614.871002
   0.771972,  615.729001
   0.772523,  616.587000
   0.773073,  617.445000
   0.773624,  618.302999
   0.774174,  619.160998
   0.774725,  620.018998
   0.775275,  620.876997
   0.775826,  621.734996
   0.776376,  622.592996
   0.776927,  623.450995
   0.777477,  624.308994
   0.778028,  625.166994
   0.778579,  626.024993
   0.779129,  626.882992
   0.779680,  627.740992
   0.780230,  628.598991
   0.780781,  629.456990
   0.781331,  630.314990
   0.781882,  631.172989
   0.782432,  632.030989
   0.782983,  632.888988
   0.783534,  633.746987
   0.784084,  634.604987
   0.784635,  635.462986
   0.785185,  636.320985
   0.785736,  637.178985
   0.786286,  638.036984
   0.786837,  638.894983
   0.787387,  639.752983
   0.787938,  640.610982
   0.788488,  641.468981
   0.789039,  642.326981
   0.789590,  643.184980
   0.790140,  644.042979
   0.790691,  644.900979
   0.791241,  645.758978
   0.791792,  646.616977
   0.792342,  647.474977
   0.792893,  648.332976
   0.793443,  649.190976
   0.793994,  650.048975
   0.794545,  650.906974
   0.795095,  651.764974
   0.795646,  652.622973
   0.796196,  653.480972
   0.796747,  654.338972
   0.797297,  655.196971
   0.797848,  656.054970
   0.798398,  656.912970
   0.798949,  657.770969
   0.799499,  658.628968
   0.800050,  659.486968
   0.800601,  660.344967
   0.801151,  661.202966
   0.801702,  662.060966
   0.802252,  662.918965
   0.802803,  663.776964
   0.803353,  664.634964
   0.803904,  665.492963
   0.804454,  666.350963
   0.805005,  667.208962
   0.805556,  668.066961
   0.806106,  668.924961
   0.806657,  669.782960
   0.807207,  670.640959
   0.807758,  671.498959
   0.808308,  672.356958
   0.808859,  673.214957
   0.809409,  674.072957
   0.809960,  674.930956
   0.810511,  675.788955
   0.811061,  676.646955
   0.811612,  677.504954
   0.812162,  678.362953
   0.812713,  679.220953
   0.813263,  680.078952
   0.813814,  680.936951
   0.814364,  681.794951
   0.814915,  682.652950
   0.815465,  683.510950
   0.816016,  684.368949
   0.816567,  685.226948
   0.817117,  686.084948
   0.817668,  686.942947
   0.818218,  687.800946
   0.818769,  688.658946
   0.819319,  689.516945
   0.819870,  690.374944
   0.820420,  691.232944
   0.820971,  692.090943
   0.821522,  692.948942
   0.822072,  693.806942
   0.822623,  694.664941
   0.823173,  695.522940
   0.823724,  696.380940
   0.824274,  697.238939
   0.824825,  698.096938
   0.825375,  698.954938
   0.825926,  699.812937
   0.826476,  700.670937
   0.827027,  701.528936
   0.827578,  702.386935
   0.828128,  703.244935
   0.828679,  704.102934
   0.829229,  704.960933
   0.829780,  705.818933
   0.830330,  706.676932
   0.830881,  707.534931
   0.831431,  708.392931
   0.831982,  709.250930
   0.832533,  710.108929
   0.833083,  710.966929
   0.833634,  711.824928
   0.834184,  712.682927
   0.834735,  713.540927
   0.835285,  714.398926
   0.835836,  715.256925
   0.836386,  716.114925
   0.836937,  716.972924
   0.837487,  717.830924
   0.838038,  718.688923
   0.838589,  719.546922
   0.839139,  720.404922
   0.839690,  721.262921
   0.840240,  722.120920
   0.840791,  722.978920
   0.841341,  723.836919
   0.841892,  724.694918
   0.842442,  725.552918
   0.842993,  726.410917
   0.843544,  727.268916
   0.844094,  728.126916
   0.844645,  728.984915
   0.845195,  729.842914
   0.845746,  730.700914
   0.846296,  731.558913
   0.846847,  732.416912
   0.847397,  733.274912
   0.847948,  734.132911
   0.848498,  734.990911
   0.849049,  735.848910
   0.849600,  736.706909
   0.850150,  737.564909
   0.850701,  738.422908
   0.851251,  739.280907
   0.851802,  740.138907
   0.852352,  740.996906
   0.852903,  741.854905
   0.853453,  742.712905
   0.854004,  743.570904
   0.854555,  744.428903
   0.855105,  745.286903
   0.855656,  746.144902
   0.856206,  747.002901
   0.856757,  747.860901
   0.857307,  748.718900
   0.857858,  749.576899
   0.858408,  750.434899
   0.858959,  751.292898
   0.859510,  752.150898
   0.860060,  753.008897
   0.860611,  753.866896
   0.861161,  754.724896
   0.861712,  755.582895
   0.862262,  756.440894
   0.862813,  757.298894
   0.863363,  758.156893
   0.863914,  759.014892
   0.864464,  759.872892
   0.865015,  760.730891
   0.865566,  761.588890
   0.866116,  762.446890
   0.866667,  763.304889
   0.867217,  764.520552
   0.867768,  765.736215
   0.868318,  766.951878
   0.868869,  768.167541
   0.869419,  769.383203
   0.869970,  770.598866
   0.870521,  771.814529
   0.871071,  773.030192
   0.871622,  774.245855
   0.872172,  775.461518
   0.872723,  776.677181
   0.873273,  777.892844
   0.873824,  779.108506
   0.874374,  780.324169
   0.874925,  781.539832
   0.875475,  782.755495
   0.876026,  783.971158
   0.876577,  785.186821
   0.877127,  786.402484
   0.877678,  787.618146
   0.878228,  788.833809
   0.878779,  790.049472
   0.879329,  791.265135
   0.879880,  792.480798
   0.880430,  793.696461
   0.880981,  794.912124
   0.881532,  796.127787
   0.882082,  797.343449
   0.882633,  798.559112
   0.883183,  799.774775
   0.883734,  800.990438
   0.884284,  802.206101
   0.884835,  803.421764
   0.885385,  804.637427
   0.885936,  805.853090
   0.886486,  807.068752
   0.887037,  808.284415
   0.887588,  809.500078
   0.888138,  810.715741
   0.888689,  811.931404
   0.889239,  813.147067
   0.889790,  814.362730
   0.890340,  815.578392
   0.890891,  816.794055
   0.891441,  818.009718
   0.891992,  819.225381
   0.892543,  820.441044
   0.893093,  821.656707
   0.893644,  822.872370
   0.894194,  824.088033
   0.894745,  825.303695
   0.895295,  826.519358
   0.895846,  827.735021
   0.896396,  828.950684
   0.896947,  830.166347
   0.897497,  831.382010
   0.898048,  832.597673
   0.898599,  833.813336
   0.899149,  835.028998
   0.899700,  836.244661
   0.900250,  837.460324
   0.900801,  838.675987
   0.901351,  839.891650
   0.901902,  841.107313
   0.902452,  842.322976
   0.903003,  843.538638
   0.903554,  844.754301
   0.904104,  845.969964
   0.904655,  847.185627
   0.905205,  848.401290
   0.905756,  849.616953
   0.906306,  850.832616
   0.906857,  852.048279
   0.907407,  853.263941
   0.907958,  854.479604
   0.908509,  855.695267
   0.909059,  856.910930
   0.909610,  858.126593
   0.910160,  859.342256
   0.910711,  860.557919
   0.911261,  861.773582
   0.911812,  862.989244
   0.912362,  864.204907
   0.912913,  865.420570
   0.913463,  866.636233
   0.914014,  867.851896
   0.914565,  869.067559
   0.915115,  870.283222
   0.915666,  871.498885
   0.916216,  872.714547
   0.916767,  873.930210
   0.917317,  875.145873
   0.917868,  876.361536
   0.918418,  877.577199
   0.918969,  878.792862
   0.919520,  880.008525
   0.920070,  881.224187
   0.920621,  882.439850
   0.921171,  883.655513
   0.921722,  884.871176
   0.922272,  886.086839
   0.922823,  887.302502
   0.923373,  888.518165
   0.923924,  889.733828
   0.924474,  890.949490
   0.925025,  892.165153
   0.925576,  893.380816
   0.926126,  894.596479
   0.926677,  895.812142
   0.927227,  897.027805
   0.927778,  898.243468
   0.928328,  899.459131
   0.928879,  900.674793
   0.929429,  901.890456
   0.929980,  903.106119
   0.930531,  904.321782
   0.931081,  905.537445
   0.931632,  906.753108
   0.932182,  907.968771
   0.932733,  909.184433
   0.933283,  910.400096
   0.933834,  911.615759
   0.934384,  912.831422
   0.934935,  914.047085
   0.935485,  915.262748
   0.936036,  916.478411
   0.936587,  917.694074
   0.937137,  918.909736
   0.937688,  920.125399
   0.938238,  921.341062
   0.938789,  922.556725
   0.939339,  923.772388
   0.939890,  924.988051
   0.940440,  926.203714
   0.940991,  927.419377
   0.941542,  928.635039
   0.942092,  929.850702
   0.942643,  931.066365
   0.943193,  932.282028
   0.943744,  933.497691
   0.944294,  934.713354
   0.944845,  935.929017
   0.945395,  937.144679
   0.945946,  938.360342
   0.946496,  939.576005
   0.947047,  940.791668
   0.947598,  942.007331
   0.948148,  943.222994
   0.948699,  944.438657
   0.949249,  945.654320
   0.949800,  946.869982
   0.950350,  948.085645
   0.950901,  949.301308
   0.951451,  950.516971
   0.952002,  951.732634
   0.952553,  952.948297
   0.953103,  954.163960
   0.953654,  955.379623
   0.954204,  956.595285
   0.954755,  957.810948
   0.955305,  959.026611
   0.955856,  960.242274
   0.956406,  961.457937
   0.956957,  962.673600
   0.957508,  963.889263
   0.958058,  965.104925
   0.958609,  966.320588
   0.959159,  967.536251
   0.959710,  968.751914
   0.960260,  969.967577
   0.960811,  971.183240
   0.961361,  972.398903
   0.961912,  973.614566
   0.962462,  974.830228
   0.963013,  976.045891
   0.963564,  977.261554
   0.964114,  978.477217
   0.964665,  979.692880
   0.965215,  980.908543
   0.965766,  982.124206
   0.966316,  983.339869
   0.966867,  984.555531
   0.967417,  985.771194
   0.967968,  986.986857
   0.968519,  988.202520
   0.969069,  989.418183
   0.969620,  990.633846
   0.970170,  991.849509
   0.970721,  993.065171
   0.971271,  994.280834
   0.971822,  995.496497
   0.972372,  996.712160
   0.972923,  997.927823
   0.973473,  999.143486
   0.974024, 1000.359149
   0.974575, 1001.574812
   0.975125, 1002.790474
   0.975676, 1004.006137
   0.976226, 1005.221800
